sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.358,197.6,310.7,277.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.368,192,310,275,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.378,185.6,309.2,272.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.388,179.5,308.1,269.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.398,174.2,305.9,265.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.408,169.7,302.1,261.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.418,NA,284.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.428,NA,263.1,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.438,NA,237.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.448,152.9,225.7,204.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.458,152.1,216.6,198.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.468,150.5,209.6,192.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.478,146.1,196.9,182.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,2,0.488,141.6,182.5,171.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.078,296.9,275.8,275.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.088,306.2,280.8,280.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.098,315.3,285.9,285.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.108,324.2,290.3,290.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.118,330.6,294.2,294.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.128,335.6,298,298,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.138,339.3,301.6,301.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.148,340.8,303.3,303.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.158,342,304.4,304.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.168,342.8,304.9,304.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.178,343.3,306.5,306.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.188,343.7,308.3,308.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.198,344,310.2,310.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.208,343.9,311.4,311.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.218,343,312.4,312.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.228,341.4,313.1,313.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.238,335.3,313.9,313.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.248,326.9,314.4,314.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.258,316.3,314.5,314.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.268,303.4,314.8,314.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.278,289.5,314.8,314.8,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.288,274.7,314.6,314.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.298,258,314.3,314.3,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.308,243.2,313.9,313.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.318,230.1,313.5,313.5,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.328,219.6,312.7,312.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.338,210.4,312,312,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.348,202.5,311.4,311.4,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.358,197.6,310.7,310.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.368,192,310,310,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.378,185.6,309.2,309.2,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.388,179.5,308.1,308.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.398,174.2,305.9,305.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.408,169.7,302.1,302.1,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.418,NA,284.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.428,NA,263.1,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.438,NA,237.7,NA,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.448,152.9,225.7,225.7,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.458,152.1,216.6,216.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.468,150.5,209.6,209.6,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.478,146.1,196.9,196.9,log
tooru_1_mod,toru_origin_tooru_dur_7,NA,1,0.488,141.6,182.5,182.5,log
