sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.182,313.4,333.7,323.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.192,314.2,320.9,317.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.202,314.7,304.6,309.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.212,314.5,285.5,299.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.222,314.2,264.5,288.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.232,313.7,242.9,276.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.242,312.9,226.1,266,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.252,312,212.7,257.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.262,310.9,201.7,250.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.272,309.6,192.3,244,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.282,307.5,184.6,238.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.292,304.6,178.2,233,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.302,291.3,174.7,225.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.312,271.6,173.3,216.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.322,245.4,NA,NA,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.332,229.7,152.9,187.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.342,218.1,152.8,182.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.352,210.4,152.4,179.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.362,200.3,150.4,173.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.372,187,147.3,165.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.082,280.8,312,303.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.092,287.2,319.5,311.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.102,293.1,327.1,318.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.112,298.7,334.2,325,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.122,302.3,338.6,329.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.132,304.7,341.3,331.8,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.142,305.8,342.8,333.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.152,308.4,343.4,334.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.162,310.6,343,334.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.172,312.3,341.3,333.8,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.182,313.4,333.7,328.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.192,314.2,320.9,319.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.202,314.7,304.6,307.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.212,314.5,285.5,292.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.222,314.2,264.5,276.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.232,313.7,242.9,258.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.242,312.9,226.1,245.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.252,312,212.7,234.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.262,310.9,201.7,224.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.272,309.6,192.3,216.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.282,307.5,184.6,209.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.292,304.6,178.2,203.8,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.302,291.3,174.7,198.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.312,271.6,173.3,193.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.322,245.4,NA,NA,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.332,229.7,152.9,169.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.342,218.1,152.8,167,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.352,210.4,152.4,165.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.362,200.3,150.4,161.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,4,0.372,187,147.3,156.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.082,280.8,312,312,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.092,287.2,319.5,319.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.102,293.1,327.1,327.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.112,298.7,334.2,334.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.122,302.3,338.6,338.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.132,304.7,341.3,341.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.142,305.8,342.8,342.8,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.152,308.4,343.4,343.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.162,310.6,343,343,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,5,0.172,312.3,341.3,341.3,log
