ID,age,gender,MLD_P,context_hours_watching,scaled_proportions_watching,langs_per_context_watching,context_entropies_watching,context_hours_listening,scaled_proportions_listening,langs_per_context_listening,context_entropies_listening,context_hours_games,scaled_proportions_games,langs_per_context_games,context_entropies_games,context_hours_internet,scaled_proportions_internet,langs_per_context_internet,context_entropies_internet,context_hours_home,scaled_proportions_home,langs_per_context_home,context_entropies_home,context_hours_family,scaled_proportions_family,langs_per_context_family,context_entropies_family,context_hours_social,scaled_proportions_social,langs_per_context_social,context_entropies_social,context_hours_work_school,scaled_proportions_work_school,langs_per_context_work_school,context_entropies_work_school,context_hours_out_of_home,scaled_proportions_out_of_home,langs_per_context_out_of_home,context_entropies_out_of_home,context_hours_other,scaled_proportions_other,langs_per_context_other,context_entropies_other
6174,40,Female,0,1,0.04,1,0,2,0.08,1,0,,,0,0,2,0.08,1,0,19,0.79,1,0,7,0.29,1,0,2,0.08,1,0,,,0,0,1,0.04,1,0,,,0,0
6235,24,Female,0,2,0.08,1,0,0,0,0,0,1,0.04,0,0,3,0.12,1,0,1,0.04,1,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6130,32,Male,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,2,0.08,1,0,17,0.71,1,0,0,0,0,0,0,0,0,0,6,0.25,1,0,1,0.04,1,0,0,0,0,0
5873,19,Male,0.17,1,0.04,1,0,4,0.17,2,1,2,0.08,1,0,,,0,0,4,0.17,1,0,1,0.04,1,0,1,0.04,1,0,8,0.33,1,0,1,0.04,1,0,,,0,0
6260,37,Male,0.65,2,0.08,2,0.47,3,0.12,1,0,0.5,0.02,1,0,5,0.21,1,0,18,0.75,1,0,1,0.04,1,0,6,0.25,3,1.04,8,0.33,3,1.06,3,0.12,1,0,0,0,0,0
6509,22,Male,1.92,9,0.38,4,1.61,6,0.25,4,1.69,3,0.12,2,0.92,4,0.17,2,0.72,20,0.83,2,0.65,4,0.17,2,0.72,2,0.08,1,0,2.5,0.1,1,0,0,0,0,0,0,0,0,0
6660,36,Female,0.49,3,0.12,2,0.65,5,0.21,3,1.3,0,0,0,0,2,0.08,1,0,4,0.17,2,0.81,1,0.04,1,0,2,0.08,1,0,6,0.25,1,0,2,0.08,1,0,0,0,0,0
6725,33,Male,0.33,2,0.08,2,0.92,3,0.12,2,0.92,2,0.08,1,0,2,0.08,1,0,6,0.25,1,0,4,0.17,2,0.81,1,0.04,1,0,1,0.04,1,0,5,0.21,1,0,,,0,0
6690,34,Female,0,4,0.17,1,0,0,0,0,0,1,0.04,1,0,3,0.12,1,0,4,0.17,1,0,0,0,0,0,1,0.04,1,0,3,0.12,1,0,1,0.04,1,0,,,0,0
6867,33,Male,0.11,3,0.12,2,0.92,1,0.04,1,0,2,0.08,1,0,1,0.04,1,0,10,0.42,1,0,10,0.42,1,0,2,0.08,1,0,8,0.33,1,0,1,0.04,1,0,,,0,0
6451,30,Male,0,3,0.12,1,0,2,0.08,1,0,4,0.17,1,0,7,0.29,1,0,10,0.42,1,0,4,0.17,0,0,3,0.12,0,0,8,0.33,0,0,4,0.17,0,0,,,0,0
6808,34,Female,1.23,2,0.08,2,1,1,0.04,1,0,3,0.12,2,0.92,2,0.08,2,0.81,12,0.5,2,0.81,12,0.5,2,0.81,3,0.12,1,0,2,0.08,1,0,5,0.21,2,0.72,,,0,0
