ID	pair	second_dim_step	first_dim_step	avg_response	pred
5031	kata-katta	4	6	76	55.9255661647957
5031	kata-katta	5	6	56.6666666666667	56.2303292646708
5031	kata-katta	1	7	53.3333333333333	48.8825860848452
5031	kata-katta	2	7	54.3333333333333	54.5076799428278
5031	kata-katta	3	7	54.6666666666667	55.9695472917657
5031	kata-katta	4	7	61.6666666666667	56.2379285508169
5031	kata-katta	5	7	35	56.2837074129024
5031	reason-risen	1	1	29.3333333333333	19.5400670896091
5031	reason-risen	2	1	19	19.7048635657253
5031	reason-risen	3	1	16.3333333333333	19.916987708346
5031	reason-risen	4	1	19.3333333333333	20.189622595622
5031	reason-risen	5	1	28.3333333333333	20.5393554431377
5031	reason-risen	1	2	21.3333333333333	20.5991625830144
5031	reason-risen	2	2	24.6666666666667	21.063288537909
5031	reason-risen	3	2	4.5	21.6550029292851
5031	reason-risen	4	2	14.6666666666667	22.4062370559599
5031	reason-risen	5	2	21	23.3549566844805
5031	reason-risen	1	3	23.6666666666667	23.515541134598
5031	reason-risen	2	3	14.6666666666667	24.7456666216747
5031	reason-risen	3	3	35.3333333333333	26.2737835131814
5031	reason-risen	4	3	28.3333333333333	28.1517884943426
5031	reason-risen	5	3	49.6666666666667	30.4295504741388
5031	reason-risen	1	4	33	30.8051670422819
5031	reason-risen	2	4	35	33.5921985070475
5031	reason-risen	3	4	38.3333333333333	36.8460483167682
5031	reason-risen	4	4	25.3333333333333	40.5594780580817
5031	reason-risen	5	4	54.6666666666667	44.6889807476556
5031	reason-risen	1	5	39.6666666666667	45.3340885432903
5031	reason-risen	2	5	46	49.8359315943818
5031	reason-risen	3	5	50.6666666666667	54.5289884857326
5031	reason-risen	4	5	46.6666666666667	59.2642604319406
5031	reason-risen	5	5	78.5	63.8873491451387
5031	reason-risen	1	6	79.3333333333333	64.5564319070437
5031	reason-risen	2	6	70.3333333333333	68.879309862611
5031	reason-risen	3	6	59	72.8265597646575
5031	reason-risen	4	6	64.6666666666667	76.3329647700955
5031	reason-risen	5	6	80.3333333333333	79.3724093275023
5031	reason-risen	1	7	92.6666666666667	79.7846234499863
5031	reason-risen	2	7	83.6666666666667	82.2975793405022
5031	reason-risen	3	7	86	84.3867849348267
5031	reason-risen	4	7	81.6666666666667	86.0984129938092
5031	reason-risen	5	7	88.3333333333333	87.4839352875745
5031	toru-tooru	1	1	26	31.5959544943247
5031	toru-tooru	2	1	21	31.4988741429009
5031	toru-tooru	3	1	20	31.4051300989165
5031	toru-tooru	4	1	29.6666666666667	31.3146185184572
5031	toru-tooru	5	1	13.6666666666667	31.2272380194801
5031	toru-tooru	1	2	16	34.6003168269985
5031	toru-tooru	2	2	45	34.4056308433664
