"display","type","signal","word_pair","word_A","word_B","sound_A_male","sound_A_female","sound_B_male","sound_B_female","sound_1","sound_2","transliteration_A","transliteration_B","alt_writing_A","alt_writing_B","orthography_A","orthography_B","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","randomize_language_blocks","block_display","break_duration"
"training_trial","AA","same","gaki-gakki","gaki","gakki","M_gaki.mp3","F_gaki.mp3","M_gakki.mp3","F_gakki.mp3","","","gaki","gakki","がき","がっき","ガキ（がき）","楽器（がっき）","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","gaki-gakki","gaki","gakki","M_gaki.mp3","F_gaki.mp3","M_gakki.mp3","F_gakki.mp3","","","gaki","gakki","がき","がっき","ガキ（がき）","楽器（がっき）","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","gaki-gakki","gaki","gakki","M_gaki.mp3","F_gaki.mp3","M_gakki.mp3","F_gakki.mp3","","","gaki","gakki","がき","がっき","ガキ（がき）","楽器（がっき）","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","gaki-gakki","gaki","gakki","M_gaki.mp3","F_gaki.mp3","M_gakki.mp3","F_gakki.mp3","","","gaki","gakki","がき","がっき","ガキ（がき）","楽器（がっき）","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","haken-hakken","haken","hakken","M_haken.mp3","F_haken.mp3","M_hakken.mp3","F_hakken.mp3","","","haken","hakken","はけん","はっけん","派遣（はけん）","発見（はっけん）","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","haken-hakken","haken","hakken","M_haken.mp3","F_haken.mp3","M_hakken.mp3","F_hakken.mp3","","","haken","hakken","はけん","はっけん","派遣（はけん）","発見（はっけん）","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","haken-hakken","haken","hakken","M_haken.mp3","F_haken.mp3","M_hakken.mp3","F_hakken.mp3","","","haken","hakken","はけん","はっけん","派遣（はけん）","発見（はっけん）","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","haken-hakken","haken","hakken","M_haken.mp3","F_haken.mp3","M_hakken.mp3","F_hakken.mp3","","","haken","hakken","はけん","はっけん","派遣（はけん）","発見（はっけん）","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","hasan-hassan","hasan","hassan","M_hasan.mp3","F_hasan.mp3","M_hassan.mp3","F_hassan.mp3","","","hasan","hassan","はさん","はっさん","破産（はさん）","発散（はっさん）","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","hasan-hassan","hasan","hassan","M_hasan.mp3","F_hasan.mp3","M_hassan.mp3","F_hassan.mp3","","","hasan","hassan","はさん","はっさん","破産（はさん）","発散（はっさん）","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","hasan-hassan","hasan","hassan","M_hasan.mp3","F_hasan.mp3","M_hassan.mp3","F_hassan.mp3","","","hasan","hassan","はさん","はっさん","破産（はさん）","発散（はっさん）","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","hasan-hassan","hasan","hassan","M_hasan.mp3","F_hasan.mp3","M_hassan.mp3","F_hassan.mp3","","","hasan","hassan","はさん","はっさん","破産（はさん）","発散（はっさん）","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","kasee-kassee","kasee","kassee","M_kasee.mp3","F_kasee.mp3","M_kassee.mp3","F_kassee.mp3","","","kasee","kassee","かせい","かっせい","火星（かせい）","活性（かっせい）","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","kasee-kassee","kasee","kassee","M_kasee.mp3","F_kasee.mp3","M_kassee.mp3","F_kassee.mp3","","","kasee","kassee","かせい","かっせい","火星（かせい）","活性（かっせい）","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","kasee-kassee","kasee","kassee","M_kasee.mp3","F_kasee.mp3","M_kassee.mp3","F_kassee.mp3","","","kasee","kassee","かせい","かっせい","火星（かせい）","活性（かっせい）","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","kasee-kassee","kasee","kassee","M_kasee.mp3","F_kasee.mp3","M_kassee.mp3","F_kassee.mp3","","","kasee","kassee","かせい","かっせい","火星（かせい）","活性（かっせい）","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","iso-isso","iso","isso","M_iso.mp3","F_iso.mp3","M_isso.mp3","F_isso.mp3","","","iso","isso","いそ","いっそ","磯（いそ）","いっそ","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","2","",""
