Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification,allocator-cukp,randomiser-fgpw
353,1741999296289,"15/03/2025, 00:41:36",1741984896289,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Years of use**,response,value,,,,Language 3 Years of use,23,object-208,English,,,,,,,,,,,,,,,spreadsheet1,
354,1741999296294,"15/03/2025, 00:41:36",1741984896294,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,,response,Language 4-value,,,,Language 4,24,object-15,English,,,,,,,,,,,,,,,spreadsheet1,
355,1741999296296,"15/03/2025, 00:41:36",1741984896296,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Listening,response,value,,,,Language 4 Listening,26,object-209,English,,,,,,,,,,,,,,,spreadsheet1,
356,1741999296297,"15/03/2025, 00:41:36",1741984896297,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Speaking,response,value,,,,Language 4 Speaking,27,object-211,English,,,,,,,,,,,,,,,spreadsheet1,
357,1741999296298,"15/03/2025, 00:41:36",1741984896298,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Reading,response,value,,,,Language 4 Reading,28,object-212,English,,,,,,,,,,,,,,,spreadsheet1,
358,1741999296299,"15/03/2025, 00:41:36",1741984896299,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Writing,response,value,,,,Language 4 Writing,29,object-213,English,,,,,,,,,,,,,,,spreadsheet1,
359,1741999296300,"15/03/2025, 00:41:36",1741984896300,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Years of use**,response,value,,,,Language 4 Years of use,30,object-214,English,,,,,,,,,,,,,,,spreadsheet1,
360,1741999296301,"15/03/2025, 00:41:36",1741984896301,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,,response,Country 1-value,,,,Country 1,3,object-19,English,,,,,,,,,,,,,,,spreadsheet1,
361,1741999296302,"15/03/2025, 00:41:36",1741984896302,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,,,,Country 1,3,object-19,English,,,,,,,,,,,,,,,spreadsheet1,
362,1741999296303,"15/03/2025, 00:41:36",1741984896303,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 4,ts9c7h,4,,response,Language-value,,,,Country 1,3,object-19,English,,,,,,,,,,,,,,,spreadsheet1,
