"ID","condition","response","reaction_time","sound","pair","language","left_word","right_word","reverse_scale","norm_left_word","norm_right_word","first_dim_step","second_dim_step","norm_response","log_rt","median_rt","mad","upper_mad","lower_mad"
"5114","spreadsheet4",100,1144.0000000003492,"I_IH_spec_7_dur_5.mp3","reason-risen","English","reason","risen","no","reason","risen",7,5,100,7.042286171940049,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",1,2059.9999999993015,"T_TT_dur_1_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,1,1,7.630461261783288,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",10,1630.3000000000466,"T_TT_dur_1_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,1,10,7.396519325945637,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",8,1199.799999999581,"T_TT_dur_1_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,1,8,7.089910155218643,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",7,969.5999999998604,"T_TT_dur_1_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,2,7,6.876883615314906,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",8,1545.3000000002794,"T_TT_dur_1_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,2,8,7.34297334523983,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",5,1184.6000000007916,"T_TT_dur_1_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,2,5,7.077160443843533,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",2,1233.3000000003958,"T_TT_dur_1_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,3,2,7.117448782572263,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",3,1064.9999999993015,"T_TT_dur_1_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,3,3,6.97073007814287,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",8,1028.200000000652,"T_TT_dur_1_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,3,8,6.935564979622038,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",2,1222.9999999993015,"T_TT_dur_1_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,4,2,7.109062135686601,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",7,854.9000000008382,"T_TT_dur_1_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,4,7,6.750984503033169,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",7,1013.1999999992548,"T_TT_dur_1_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,4,7,6.920868918126785,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",1,1148.9000000000233,"T_TT_dur_1_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,5,1,7.046560241859339,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",0,1164.9000000003723,"T_TT_dur_1_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",1,5,0,7.060390525406051,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",4,1161.9999999993015,"T_TT_dur_2_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,1,4,7.057897937411256,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",1,1157.0000000006985,"T_TT_dur_2_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,1,1,7.05358572719428,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",3,1311.3999999992084,"T_TT_dur_2_F0_1.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,1,3,7.178850547828915,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",2,1183.3000000003958,"T_TT_dur_2_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,2,2,7.076062424390848,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",14,1260.5000000006985,"T_TT_dur_2_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,2,14,7.1392637466285285,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",8,1067.4000000008382,"T_TT_dur_2_F0_2.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,2,8,6.9729810639006296,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",13,1321.1000000000931,"T_TT_dur_2_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,3,13,7.1862200018843785,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",4,1191.5000000006985,"T_TT_dur_2_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,3,4,7.082968296539383,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",8,1868.9999999993015,"T_TT_dur_2_F0_3.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,3,8,7.533158807455189,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",52,1703.3000000000466,"T_TT_dur_2_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,4,52,7.440322824866559,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",4,1056.899999999674,"T_TT_dur_2_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,4,4,6.963095374014993,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",13,1221.0000000001164,"T_TT_dur_2_F0_4.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,4,13,7.1074254741108,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
"5114","spreadsheet4",5,1114.8000000000466,"T_TT_dur_2_F0_5.mp3","kata-katta","Japanese","kata","katta","no","kata","katta",2,5,5,7.016430295607835,7.1167187667218705,0.2435570358970064,7.847389874412889,6.386047659030852
