ID	pair	second_dim_step	first_dim_step	norm_response
5031	kata-katta	4	4	77
5031	kata-katta	4	4	31
5031	kata-katta	4	4	69
5031	kata-katta	5	4	16
5031	kata-katta	5	4	36
5031	kata-katta	5	4	66
5031	kata-katta	1	5	23
5031	kata-katta	1	5	62
5031	kata-katta	1	5	12
5031	kata-katta	2	5	29
5031	kata-katta	2	5	74
5031	kata-katta	2	5	75
5031	kata-katta	3	5	16
5031	kata-katta	3	5	65
5031	kata-katta	4	5	82
5031	kata-katta	4	5	71
5031	kata-katta	4	5	13
5031	kata-katta	5	5	72
5031	kata-katta	5	5	28
5031	kata-katta	5	5	100
5031	kata-katta	1	6	19
5031	kata-katta	1	6	17
5031	kata-katta	1	6	31
5031	kata-katta	2	6	25
5031	kata-katta	2	6	90
5031	kata-katta	2	6	21
5031	kata-katta	3	6	50
5031	kata-katta	3	6	65
5031	kata-katta	3	6	31
5031	kata-katta	4	6	68
5031	kata-katta	4	6	90
5031	kata-katta	4	6	70
5031	kata-katta	5	6	75
5031	kata-katta	5	6	65
5031	kata-katta	5	6	30
5031	kata-katta	1	7	26
5031	kata-katta	1	7	70
5031	kata-katta	1	7	64
5031	kata-katta	2	7	21
5031	kata-katta	2	7	72
5031	kata-katta	2	7	70
5031	kata-katta	3	7	81
5031	kata-katta	3	7	66
5031	kata-katta	3	7	17
5031	kata-katta	4	7	28
5031	kata-katta	4	7	79
5031	kata-katta	4	7	78
5031	kata-katta	5	7	16
5031	kata-katta	5	7	71
5031	kata-katta	5	7	18
5031	toru-tooru	1	1	36
5031	toru-tooru	1	1	12
5031	toru-tooru	1	1	30
5031	toru-tooru	2	1	7
5031	toru-tooru	2	1	34
5031	toru-tooru	2	1	22
5031	toru-tooru	3	1	13
5031	toru-tooru	3	1	23
5031	toru-tooru	3	1	24
5031	toru-tooru	4	1	24
5031	toru-tooru	4	1	34
5031	toru-tooru	4	1	31
5031	toru-tooru	5	1	8
5031	toru-tooru	5	1	12
5031	toru-tooru	5	1	21
5031	toru-tooru	1	2	7
5031	toru-tooru	1	2	16
5031	toru-tooru	1	2	25
5031	toru-tooru	2	2	74
5031	toru-tooru	2	2	16
5031	toru-tooru	3	2	24
5031	toru-tooru	3	2	78
5031	toru-tooru	3	2	67
5031	toru-tooru	4	2	77
5031	toru-tooru	4	2	28
5031	toru-tooru	5	2	30
5031	toru-tooru	5	2	29
5031	toru-tooru	5	2	21
5031	toru-tooru	1	3	22
5031	toru-tooru	1	3	24
5031	toru-tooru	1	3	35
5031	toru-tooru	2	3	90
5031	toru-tooru	2	3	53
5031	toru-tooru	2	3	26
5031	toru-tooru	3	3	89
5031	toru-tooru	3	3	50
