"ID","age","gender","context_hours_watching","passive_watching_lang1","passive_watching_lang1_hours","passive_watching_lang2","passive_watching_lang2_hours","passive_watching_lang3","passive_watching_lang3_hours","passive_watching_lang4","passive_watching_lang4_hours","context_hours_listening","passive_listening_lang1","passive_listening_lang1_hours","passive_listening_lang2","passive_listening_lang2_hours","passive_listening_lang3","passive_listening_lang3_hours","passive_listening_lang4","passive_listening_lang4_hours","context_hours_games","passive_games_lang1","passive_games_lang1_hours","passive_games_lang2","passive_games_lang2_hours","passive_games_lang3","passive_games_lang3_hours","passive_games_lang4","passive_games_lang4_hours","context_hours_internet","passive_internet_lang1","passive_internet_lang1_hours","passive_internet_lang2","passive_internet_lang2_hours","passive_internet_lang3","passive_internet_lang3_hours","passive_internet_lang4","passive_internet_lang4_hours","context_hours_home","passive_home_lang1","passive_home_lang1_hours","passive_home_lang2","passive_home_lang2_hours","passive_home_lang3","passive_home_lang3_hours","passive_home_lang4","passive_home_lang4_hours","context_hours_family","passive_family_lang1","passive_family_lang1_hours","passive_family_lang2","passive_family_lang2_hours","passive_family_lang3","passive_family_lang3_hours","passive_family_lang4","passive_family_lang4_hours","context_hours_social","passive_social_lang1","passive_social_lang1_hours","passive_social_lang2","passive_social_lang2_hours","passive_social_lang3","passive_social_lang3_hours","passive_social_lang4","passive_social_lang4_hours","context_hours_work_school","passive_work_school_lang1","passive_work_school_lang1_hours","passive_work_school_lang2","passive_work_school_lang2_hours","passive_work_school_lang3","passive_work_school_lang3_hours","passive_work_school_lang4","passive_work_school_lang4_hours","context_hours_out_of_home","passive_out_of_home_lang1","passive_out_of_home_lang1_hours","passive_out_of_home_lang2","passive_out_of_home_lang2_hours","passive_out_of_home_lang3","passive_out_of_home_lang3_hours","passive_out_of_home_lang4","passive_out_of_home_lang4_hours","context_hours_other","context_hours_other_please_specify","passive_other_lang1","passive_other_lang1_hours","passive_other_lang2","passive_other_lang2_hours","passive_other_lang3","passive_other_lang3_hours","passive_other_lang4","passive_other_lang4_hours","hours_awake_question_15","other_info_part_2_question_16"
"5599","33","Female","10","English","10",NA,NA,NA,NA,NA,NA,"2","English","2",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"4","English","4",NA,NA,NA,NA,NA,NA,"4","English","4",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"2","English","2",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA
"5600","25","Male","5","English","5",NA,NA,NA,NA,NA,NA,"3","English","3",NA,NA,NA,NA,NA,NA,"5","English","5",NA,NA,NA,NA,NA,NA,"3","English 3",NA,NA,NA,NA,NA,NA,NA,"18","English","18",NA,NA,NA,NA,NA,NA,"2","English 2",NA,NA,NA,NA,NA,NA,NA,"0","English","0",NA,NA,NA,NA,NA,NA,"0","English","0",NA,NA,NA,NA,NA,NA,"0","English","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"16",NA
"5458","32","Female","3","English","3","Spanish","1",NA,NA,NA,NA,"2","English","2",NA,NA,NA,NA,NA,NA,"1","English","1","French","1","Spanish","1","Russian","1","1","English","1","Spanish","1",NA,NA,NA,NA,"6","English","6",NA,NA,NA,NA,NA,NA,"6","English","6",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"8","English","8",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","I am exposed to more languages online. I can translate them with my phone"
"5465","32","Male","1.5","1","0.5","1","0.25","2","0.25","1","0.5","1.5","1","0.75","1","0.25","2","0.25","1","o.5","1","1","0.5","2","0.05","1","0.05","1","0.40","2","1","1","2","0.5","3","0.25","4","0.25","4","1","1","2","1","3","0.5","1","1.5","2","1","0.75","2","0.5","3","0.5","4","0.25","1","1","0.25","1","0.25","2","0.25","1","0.25","2","1","1","1","0.25","3","0.25","4","0.5","1","1","0.25","1","0.25","2","0.25","3","0.25","4","I spend 4 hours per day with my family","1","2","3","1","1","1","2","1","16","I speak English as my primary language, but I also have exposure to Spanish, French, and Italian through media, travel, and family. While I don’t actively speak all of these languages, I passively hear them daily through television, movies, and online content. I also occasionally communicate with friends in French and Spanish"
"5549","34","Male","2","English","2",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"5","English","5",NA,NA,NA,NA,NA,NA,"10","English","10",NA,NA,NA,NA,NA,NA,"10","English","10",NA,NA,NA,NA,NA,NA,"6","English","6",NA,NA,NA,NA,NA,NA,"45","English","45",NA,NA,NA,NA,NA,NA,"4","English","4",NA,NA,NA,NA,NA,NA,"3","driving for relaxation","English","3",NA,NA,NA,NA,NA,NA,"6",NA
"5570","21","Female","5","english","5",NA,NA,NA,NA,NA,NA,"7","english","7",NA,NA,NA,NA,NA,NA,"-18","english","18",NA,NA,NA,NA,NA,NA,"8","english","8",NA,NA,NA,NA,NA,NA,"0","english","0",NA,NA,NA,NA,NA,NA,"1","english","1",NA,NA,NA,NA,NA,NA,"0","english","0",NA,NA,NA,NA,NA,NA,"3","english","3",NA,NA,NA,NA,NA,NA,"-3","english","3",NA,NA,NA,NA,NA,NA,"0",NA,"english","0",NA,NA,NA,NA,NA,NA,"15",NA
"5426","21","Male","3","English","3",NA,NA,NA,NA,NA,NA,"7","English","7",NA,NA,NA,NA,NA,NA,"5","English","5",NA,NA,NA,NA,NA,NA,"3","English","3",NA,NA,NA,NA,NA,NA,"10","English","10",NA,NA,NA,NA,NA,NA,"10","English","10",NA,NA,NA,NA,NA,NA,"5","English","5",NA,NA,NA,NA,NA,NA,"3","English","3",NA,NA,NA,NA,NA,NA,"5","English","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA
"5541","29","Female","2","English","2",NA,NA,NA,NA,NA,NA,"2","English","2",NA,NA,NA,NA,NA,NA,"0","English","1",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"8","English","8",NA,NA,NA,NA,NA,NA,"8","English","8",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"0","I think your categories cover everything I do",NA,NA,NA,NA,NA,NA,NA,NA,"13","I'm not exposed anymore because I stopped working, but as a nurse over 5 years, about 80 percent of my coworkers were Filipino and spoke Tagalog, so I was exposed to that for quite some time. "
"5565","30","Male","3","english","3",NA,NA,NA,NA,NA,NA,"2","english","2",NA,NA,NA,NA,NA,NA,"3","english","3",NA,NA,NA,NA,NA,NA,"3","english","3",NA,NA,NA,NA,NA,NA,"24","english","24",NA,NA,NA,NA,NA,NA,"24","english","24",NA,NA,NA,NA,NA,NA,"24","english","24",NA,NA,NA,NA,NA,NA,"24","english","24",NA,NA,NA,NA,NA,NA,"24","english","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA
"5717","28","Female","0","English","1","Spanish","0","Italian","0",NA,NA,"3","English","3","Spanish",".5","Italian",".5",NA,NA,"0","English","0","Spanish","0","Italian","0",NA,NA,"2","English","2","Spanish","0","Italian","0",NA,NA,"12","English","0","Spanish","0","Italian","0",NA,NA,"12","English","12","Spanish","0","Italian","0",NA,NA,"1","English","1","Spanish","0","Italian","0",NA,NA,"9","English","9","Spanish","0","Italian","0",NA,NA,"1","English","1","Spanish","0","Italian","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA
