ID	prepost	pair	first_dim_step	norm_response
3	Post	reason-risen	5	100
3	Post	reason-risen	6	100
3	Post	reason-risen	6	99
3	Post	reason-risen	6	100
3	Post	reason-risen	6	100
3	Post	reason-risen	7	89
3	Post	reason-risen	7	100
3	Post	reason-risen	7	100
3	Post	reason-risen	7	99
3	Post	kata-katta	1	0
3	Post	kata-katta	1	0
3	Post	kata-katta	1	0
3	Post	kata-katta	1	1
3	Post	kata-katta	2	99
3	Post	kata-katta	2	0
3	Post	kata-katta	2	1
3	Post	kata-katta	2	0
3	Post	kata-katta	3	100
3	Post	kata-katta	3	100
3	Post	kata-katta	3	0
3	Post	kata-katta	3	1
3	Post	kata-katta	4	100
3	Post	kata-katta	4	99
3	Post	kata-katta	4	99
3	Post	kata-katta	4	0
3	Post	kata-katta	5	100
3	Post	kata-katta	5	100
3	Post	kata-katta	5	100
3	Post	kata-katta	5	99
3	Post	kata-katta	6	100
3	Post	kata-katta	6	100
3	Post	kata-katta	6	100
3	Post	kata-katta	6	99
3	Post	kata-katta	7	100
3	Post	kata-katta	7	99
3	Post	kata-katta	7	99
3	Post	kata-katta	7	100
3	Post	toru-tooru	1	0
3	Post	toru-tooru	1	0
3	Post	toru-tooru	1	0
3	Post	toru-tooru	1	1
3	Post	toru-tooru	2	2
3	Post	toru-tooru	2	0
3	Post	toru-tooru	2	0
3	Post	toru-tooru	2	0
3	Post	toru-tooru	3	0
3	Post	toru-tooru	3	0
3	Post	toru-tooru	3	1
3	Post	toru-tooru	4	100
3	Post	toru-tooru	4	100
3	Post	toru-tooru	4	100
3	Post	toru-tooru	5	100
3	Post	toru-tooru	5	100
3	Post	toru-tooru	5	100
3	Post	toru-tooru	5	99
3	Post	toru-tooru	6	99
3	Post	toru-tooru	6	100
3	Post	toru-tooru	6	100
3	Post	toru-tooru	6	99
3	Post	toru-tooru	7	99
3	Post	toru-tooru	7	100
3	Post	toru-tooru	7	99
3	Post	toru-tooru	7	99
4	Pre	indent-intent	1	26
4	Pre	indent-intent	1	31
4	Pre	indent-intent	1	21
4	Pre	indent-intent	1	13
4	Pre	indent-intent	2	31
4	Pre	indent-intent	2	31
4	Pre	indent-intent	2	30
4	Pre	indent-intent	2	8
4	Pre	indent-intent	3	55
4	Pre	indent-intent	3	61
4	Pre	indent-intent	3	43
