"local_date","ID","exp_group","prepost","pretraining_condition","posttraining_condition","response","reaction_time","sound","pair","language","first_dim_step","second_dim_step","left_word","right_word","reverse_scale","norm_left_word","norm_right_word","norm_response","days_between"
"2025-04-02","1","Low LD","Pre","spreadsheet3","",73,3307.2999999999884,"I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"risen","reason","yes","reason","risen",27,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",13,3580.3000000238535,"I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"risen","reason","yes","reason","risen",87,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",92,4361.200000047684,"I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"risen","reason","yes","reason","risen",8,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,1860.7999999999884,"I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"risen","reason","yes","reason","risen",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",1,3639.799999999989,"I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"risen","reason","yes","reason","risen",99,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",1,2516.4000000000233,"I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"risen","reason","yes","reason","risen",99,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",1,3389.2000000238186,"I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"risen","reason","yes","reason","risen",99,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",1,1900.0000000000584,"I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"risen","reason","yes","reason","risen",99,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",67,5665.999999976135,"I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"risen","reason","yes","reason","risen",33,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,3618.7000000238186,"O_OO_dur_5_F0_3_tooru_origin.mp3","toru-tooru","Japanese",5,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2752.9000000715023,"O_OO_dur_5_F0_3_tooru_origin.mp3","toru-tooru","Japanese",5,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2482.4000000000233,"O_OO_dur_5_F0_3_tooru_origin.mp3","toru-tooru","Japanese",5,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2249.899999999965,"O_OO_dur_3_F0_3_toru_origin.mp3","toru-tooru","Japanese",3,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,1845.5999999999767,"O_OO_dur_7_F0_3_tooru_origin.mp3","toru-tooru","Japanese",7,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2473.600000047707,"O_OO_dur_2_F0_3_toru_origin.mp3","toru-tooru","Japanese",2,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2421.600000047707,"O_OO_dur_1_F0_3_toru_origin.mp3","toru-tooru","Japanese",1,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,3281.90000002383,"O_OO_dur_4_F0_3_tooru_origin.mp3","toru-tooru","Japanese",4,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,3243,"O_OO_dur_4_F0_3_tooru_origin.mp3","toru-tooru","Japanese",4,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2380.59999997617,"O_OO_dur_6_F0_3_tooru_origin.mp3","toru-tooru","Japanese",6,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2763.40000002383,"O_OO_dur_5_F0_3_tooru_origin.mp3","toru-tooru","Japanese",5,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,1992.100000047707,"O_OO_dur_7_F0_3_tooru_origin.mp3","toru-tooru","Japanese",7,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,1833.5999999999767,"O_OO_dur_2_F0_3_toru_origin.mp3","toru-tooru","Japanese",2,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2090.999999976135,"O_OO_dur_6_F0_3_tooru_origin.mp3","toru-tooru","Japanese",6,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2301.2000000476837,"O_OO_dur_3_F0_3_toru_origin.mp3","toru-tooru","Japanese",3,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2025.7000000238183,"O_OO_dur_1_F0_3_toru_origin.mp3","toru-tooru","Japanese",1,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2265.600000047707,"O_OO_dur_4_F0_3_tooru_origin.mp3","toru-tooru","Japanese",4,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2265.999999976135,"O_OO_dur_3_F0_3_toru_origin.mp3","toru-tooru","Japanese",3,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",1,4466.299999999988,"O_OO_dur_3_F0_3_toru_origin.mp3","toru-tooru","Japanese",3,3,"tooru","toru","yes","toru","tooru",99,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2224.399999976158,"O_OO_dur_4_F0_3_tooru_origin.mp3","toru-tooru","Japanese",4,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,1948.9000000715023,"O_OO_dur_1_F0_3_toru_origin.mp3","toru-tooru","Japanese",1,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2183.2999999999884,"O_OO_dur_1_F0_3_toru_origin.mp3","toru-tooru","Japanese",1,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",1,3848,"O_OO_dur_2_F0_3_toru_origin.mp3","toru-tooru","Japanese",2,3,"tooru","toru","yes","toru","tooru",99,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2176.700000071549,"O_OO_dur_2_F0_3_toru_origin.mp3","toru-tooru","Japanese",2,3,"tooru","toru","yes","toru","tooru",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,1716.7000000000116,"O_OO_dur_7_F0_3_tooru_origin.mp3","toru-tooru","Japanese",7,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,3622.4000000000233,"O_OO_dur_7_F0_3_tooru_origin.mp3","toru-tooru","Japanese",7,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,1854.2000000238183,"O_OO_dur_6_F0_3_tooru_origin.mp3","toru-tooru","Japanese",6,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2034,"O_OO_dur_6_F0_3_tooru_origin.mp3","toru-tooru","Japanese",6,3,"tooru","toru","yes","toru","tooru",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,3691.500000023865,"T_TT_dur_3_F0_3.mp3","kata-katta","Japanese",3,3,"katta","kata","yes","kata","katta",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,2034.7000000238183,"T_TT_dur_7_F0_3.mp3","kata-katta","Japanese",7,3,"katta","kata","yes","kata","katta",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",0,1752.5999999761698,"T_TT_dur_7_F0_3.mp3","kata-katta","Japanese",7,3,"katta","kata","yes","kata","katta",100,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",27,3102.9000000715023,"T_TT_dur_4_F0_3.mp3","kata-katta","Japanese",4,3,"katta","kata","yes","kata","katta",73,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",26,2846.600000047707,"T_TT_dur_4_F0_3.mp3","kata-katta","Japanese",4,3,"katta","kata","yes","kata","katta",74,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",25,2820.59999997617,"T_TT_dur_6_F0_3.mp3","kata-katta","Japanese",6,3,"katta","kata","yes","kata","katta",75,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",70,3450.499999999942,"T_TT_dur_2_F0_3.mp3","kata-katta","Japanese",2,3,"katta","kata","yes","kata","katta",30,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",84,2476.600000047707,"T_TT_dur_1_F0_3.mp3","kata-katta","Japanese",1,3,"katta","kata","yes","kata","katta",16,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",84,2199.7000000000116,"T_TT_dur_4_F0_3.mp3","kata-katta","Japanese",4,3,"katta","kata","yes","kata","katta",16,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",84,2782.500000023865,"T_TT_dur_2_F0_3.mp3","kata-katta","Japanese",2,3,"katta","kata","yes","kata","katta",16,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",84,3145.3000000238535,"T_TT_dur_4_F0_3.mp3","kata-katta","Japanese",4,3,"katta","kata","yes","kata","katta",16,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",38,5049.699999999953,"T_TT_dur_6_F0_3.mp3","kata-katta","Japanese",6,3,"katta","kata","yes","kata","katta",62,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,3005.7000000238186,"T_TT_dur_1_F0_3.mp3","kata-katta","Japanese",1,3,"katta","kata","yes","kata","katta",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",17,4761.000000071537,"T_TT_dur_5_F0_3.mp3","kata-katta","Japanese",5,3,"katta","kata","yes","kata","katta",83,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",3,2295.600000047707,"T_TT_dur_6_F0_3.mp3","kata-katta","Japanese",6,3,"katta","kata","yes","kata","katta",97,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",3,2975.8000000476604,"T_TT_dur_5_F0_3.mp3","kata-katta","Japanese",5,3,"katta","kata","yes","kata","katta",97,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",62,4582.9000000000815,"T_TT_dur_6_F0_3.mp3","kata-katta","Japanese",6,3,"katta","kata","yes","kata","katta",38,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",96,3199.5999999999767,"T_TT_dur_2_F0_3.mp3","kata-katta","Japanese",2,3,"katta","kata","yes","kata","katta",4,0
