"local_date","session","ID","exp_group","response","reaction_time","log_rt","correct","language","word_pair","signal","type","sound_1","sound_2","speaker_signal","segment_type","task","days_between","dprime_response"
"2025-04-28","1","4","High LD","same",542.7999999999593,6.296740927960639,1,"Japanese","ojisan-ojiisan","same","BB","F_ojiisan.mp3","M_ojiisan.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",737.6999999999534,6.603537237890193,1,"Japanese","haku-haaku","same","AA","M_haku.mp3","M_haku.mp3","same","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",274.8999999999651,5.616407395171073,1,"Japanese","haken-hakken","same","BB","M_hakken.mp3","F_hakken.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",352.0000000000582,5.863631175598263,1,"Japanese","shiru-shiiru","same","AA","F_shiru.mp3","M_shiru.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",740.8000000001048,6.607730683332111,1,"Japanese","jutaku-juutaku","same","BB","F_juutaku.mp3","M_juutaku.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",744.6999999999534,6.612981452716538,1,"Japanese","nishi-nisshi","different","BA","M_nisshi.mp3","F_nishi.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","same",858.4000000000524,6.75507019131655,1,"Japanese","heta-hetta","same","AA","F_heta.mp3","M_heta.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",788.1999999999534,6.669751864760844,1,"Japanese","ishoku-isshoku","same","BB","M_isshoku.mp3","F_isshoku.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",352.5,5.8650506222523235,1,"Japanese","gaki-gakki","same","AA","M_gaki.mp3","M_gaki.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",740.3999999999069,6.607190580699217,1,"Japanese","saka-sakka","different","AB","F_saka.mp3","M_sakka.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",363.30000000004657,5.895228939227285,1,"Japanese","haku-haaku","different","AB","M_haku.mp3","F_haaku.mp3","different","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",484.60000000009313,6.183323808382617,1,"Japanese","ishoku-isshoku","same","BB","F_isshoku.mp3","F_isshoku.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",629.8000000001048,6.445402308667091,1,"Japanese","shiru-shiiru","same","BB","M_shiiru.mp3","F_shiiru.mp3","different","vowel","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",342.29999999993015,5.835687545535936,1,"Japanese","ojisan-ojiisan","different","AB","F_ojisan.mp3","M_ojiisan.mp3","different","vowel","training",26,"hit"
"2025-04-28","1","4","High LD","same",279.9999999999418,5.634789603169041,1,"Japanese","nishi-nisshi","same","AA","M_nishi.mp3","F_nishi.mp3","different","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","same",519.8999999999651,6.2536364853896025,1,"Japanese","nishi-nisshi","same","BB","M_nisshi.mp3","M_nisshi.mp3","same","consonant","training",26,"corr_reject"
"2025-04-28","1","4","High LD","different",672,6.5102583405231496,1,"Japanese","kasee-kassee","different","AB","M_kasee.mp3","F_kassee.mp3","different","consonant","training",26,"hit"
"2025-04-28","1","4","High LD","different",818.6000000000931,6.707595564058416,0,"Japanese","jutaku-juutaku","same","BB","F_juutaku.mp3","M_juutaku.mp3","different","vowel","training",26,"false_alarm"
"2025-04-28","1","4","High LD","same",365.3000000001048,5.900718933801524,1,"Japanese","haken-hakken","same","AA","F_haken.mp3","F_haken.mp3","same","consonant","training",26,"corr_reject"
