Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sentence,Spreadsheet: key_word,Spreadsheet: sound,Spreadsheet: correct_answer,Spreadsheet: competing_distractor,Spreadsheet: non_competing_distractor_1,Spreadsheet: non_competing_distractor_2,Spreadsheet: origin_task,Spreadsheet: length,Spreadsheet: segment_type,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity,Spreadsheet: word_position,Spreadsheet: c_label,Spreadsheet: cd_label,Spreadsheet: ncd1_label,Spreadsheet: ncd2_label,Manipulation: Spreadsheet,Store: Example
110,1745534861377,24/04/2025 22:47:41,1745520461377,-4,24/04/2025 14:47:41,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,19,trial,Screen 1,6wu76v,1,info,audio started,7326.700000000012,7316.8000000000175,7326.700000000012,7326.700000000012,7316.8000000000175,7326.700000000012,0,7326.700000000012,0,0,,Audio Clip,Audio,3,object-78,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
111,1745534864258,24/04/2025 22:47:44,1745520464258,-4,24/04/2025 14:47:44,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,19,trial,Screen 1,6wu76v,1,info,audio finished,10208.200000000012,10200.200000000012,10208.200000000012,10208.200000000012,10200.200000000012,10208.200000000012,0,10208.200000000012,0,0,,Audio Clip,Audio,3,object-78,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
112,1745534864282,24/04/2025 22:47:44,1745520464282,-4,24/04/2025 14:47:44,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,19,trial,Screen 1,6wu76v,1,action,hoosoo,10231.900000047695,10216.800000000017,10231.900000047695,10231.900000047695,10216.800000000017,10231.900000047695,1,10231.900000047695,0,0,,CustomMultichoice,CustomMultichoice,4,object-68,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
113,1745534865466,24/04/2025 22:47:45,1745520465466,-4,24/04/2025 14:47:45,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,19,trial,Screen 1,6wu76v,1,continue,,11416.200000000012,11400.300000000017,11416.200000000012,11416.200000000012,11400.300000000017,11416.200000000012,0,11416.200000000012,0,0,,Click To Continue,Continue Button,5,object-70,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
114,1745534865467,24/04/2025 22:47:45,1745520465467,-4,24/04/2025 14:47:45,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,19,trial,Screen 1,6wu76v,1,response,hoosoo,11416.700000000012,11400.300000000017,11416.700000000012,11416.700000000012,11400.300000000017,11416.700000000012,1,11416.700000000012,0,0,hoosoo,CustomMultichoice,CustomMultichoice,4,object-68,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
115,1745534866991,24/04/2025 22:47:46,1745520466991,-4,24/04/2025 14:47:46,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,20,trial,Screen 1,6wu76v,1,info,audio started,1540.5000001430453,1533.1999999999825,1540.5000001430453,1540.5000001430453,1533.1999999999825,1540.5000001430453,0,1540.5000001430453,0,0,,Audio Clip,Audio,3,object-78,trial,あのひと、___ですか？,obasan_s,F_obasan_s.mp3,obasan,obaasan,oobasan,obaisan,training,short,vowel,a,a,medial,おばさん,おばあさん,おおばさん,おばいさん,,correct
116,1745534868900,24/04/2025 22:47:48,1745520468900,-4,24/04/2025 14:47:48,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,20,trial,Screen 1,6wu76v,1,info,audio finished,3449.5000001430453,3432.899999999994,3449.5000001430453,3449.5000001430453,3432.899999999994,3449.5000001430453,0,3449.5000001430453,0,0,,Audio Clip,Audio,3,object-78,trial,あのひと、___ですか？,obasan_s,F_obasan_s.mp3,obasan,obaasan,oobasan,obaisan,training,short,vowel,a,a,medial,おばさん,おばあさん,おおばさん,おばいさん,,correct
117,1745534871485,24/04/2025 22:47:51,1745520471485,-4,24/04/2025 14:47:51,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,20,trial,Screen 1,6wu76v,1,action,obaasan,6033.099999999977,6016.299999999988,6033.099999999977,6033.099999999977,6016.299999999988,6033.099999999977,0,6033.099999999977,0,0,,CustomMultichoice,CustomMultichoice,4,object-68,trial,あのひと、___ですか？,obasan_s,F_obasan_s.mp3,obasan,obaasan,oobasan,obaisan,training,short,vowel,a,a,medial,おばさん,おばあさん,おおばさん,おばいさん,,correct
118,1745534872625,24/04/2025 22:47:52,1745520472625,-4,24/04/2025 14:47:52,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,20,trial,Screen 1,6wu76v,1,continue,,7174.600000047678,7166.1999999999825,7174.600000047678,7174.600000047678,7166.1999999999825,7174.600000047678,0,7174.600000047678,0,0,,Click To Continue,Continue Button,5,object-70,trial,あのひと、___ですか？,obasan_s,F_obasan_s.mp3,obasan,obaasan,oobasan,obaisan,training,short,vowel,a,a,medial,おばさん,おばあさん,おおばさん,おばいさん,,correct
119,1745534872625,24/04/2025 22:47:52,1745520472625,-4,24/04/2025 14:47:52,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,20,trial,Screen 1,6wu76v,1,response,obaasan,7175.000000143045,7166.1999999999825,7175.000000143045,7175.000000143045,7166.1999999999825,7175.000000143045,0,7175.000000143045,0,0,obaasan,CustomMultichoice,CustomMultichoice,4,object-68,trial,あのひと、___ですか？,obasan_s,F_obasan_s.mp3,obasan,obaasan,oobasan,obaisan,training,short,vowel,a,a,medial,おばさん,おばあさん,おおばさん,おばいさん,,correct
120,1745534874214,24/04/2025 22:47:54,1745520474214,-4,24/04/2025 14:47:54,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,1,end,Screen 1,uhg4a4,1,continue,,1597.8000001430628,1583.7000000000116,1597.8000001430628,1597.8000001430628,1583.7000000000116,1597.8000001430628,1,1597.8000001430628,0,0,,Click To Continue,Continue Button,2,object-118,end,,,,,,,,,,,,,,,,,,,correct
121,1745534874216,24/04/2025 22:47:54,1745520474216,-4,24/04/2025 14:47:54,220234,3,task-arbx,,45628658,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,post_test_assessment,post_test_assessment,,,,,,info,END,,,200751,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1746324977868,04/05/2025 02:16:17,1746310577868,-4,03/05/2025 18:16:17,220234,3,task-arbx,,45844555,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,post_test_assessment,post_test_assessment,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1746324979582,04/05/2025 02:16:19,1746310579582,-4,03/05/2025 18:16:19,220234,3,task-arbx,,45844555,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,post_test_assessment,post_test_assessment,1,post-test instructions,welcome back,mcprcj,1,continue,,1748.8000000059606,1733.4,1748.8000000059606,1748.8000000059606,1733.4,1748.8000000059606,1,1748.8000000059606,0,0,,Click To Continue,Continue Button,2,object-123,post-test instructions,,,,,,,,,,,,,,,,,,,correct
3,1746324981533,04/05/2025 02:16:21,1746310581533,-4,03/05/2025 18:16:21,220234,3,task-arbx,,45844555,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,post_test_assessment,post_test_assessment,1,post-test instructions,start,az9p42,2,continue,,1966.499999999999,1949.8999999999996,1966.499999999999,1966.499999999999,1949.8999999999996,1966.499999999999,1,1966.499999999999,0,0,,Click To Continue,Continue Button,2,object-129,post-test instructions,,,,,,,,,,,,,,,,,,,correct
4,1746324983286,04/05/2025 02:16:23,1746310583286,-4,03/05/2025 18:16:23,220234,3,task-arbx,,45844555,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,post_test_assessment,post_test_assessment,1,trial,Screen 1,6wu76v,1,info,audio started,1770.0000000059608,1766.7000000000007,1770.0000000059608,1770.0000000059608,1766.7000000000007,1770.0000000059608,0,1770.0000000059608,0,0,,Audio Clip,Audio,3,object-78,trial,___をしっていますか？,ojiisan_s,F_ojiisan_s.mp3,ojiisan,ojisan,oojisan,ochisan,training,long,vowel,i,ii,medial,おじいさん,おじさん,おおじさん,おちさん,,correct
5,1746324985233,04/05/2025 02:16:25,1746310585233,-4,03/05/2025 18:16:25,220234,3,task-arbx,,45844555,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,post_test_assessment,post_test_assessment,1,trial,Screen 1,6wu76v,1,info,audio finished,3716.6000000000004,3700,3716.6000000000004,3716.6000000000004,3700,3716.6000000000004,0,3716.6000000000004,0,0,,Audio Clip,Audio,3,object-78,trial,___をしっていますか？,ojiisan_s,F_ojiisan_s.mp3,ojiisan,ojisan,oojisan,ochisan,training,long,vowel,i,ii,medial,おじいさん,おじさん,おおじさん,おちさん,,correct
6,1746324992222,04/05/2025 02:16:32,1746310592222,-4,03/05/2025 18:16:32,220234,3,task-arbx,,45844555,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,post_test_assessment,post_test_assessment,1,trial,Screen 1,6wu76v,1,info,audio started,10705.899999982119,10700.1,10705.899999982119,10705.899999982119,10700.1,10705.899999982119,0,10705.899999982119,0,0,,Audio Clip,Audio,3,object-78,trial,___をしっていますか？,ojiisan_s,F_ojiisan_s.mp3,ojiisan,ojisan,oojisan,ochisan,training,long,vowel,i,ii,medial,おじいさん,おじさん,おおじさん,おちさん,,correct
7,1746324994167,04/05/2025 02:16:34,1746310594167,-4,03/05/2025 18:16:34,220234,3,task-arbx,,45844555,BLIND,13022571,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1920x1080,1920x968,day 1 complete,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-same J-different,spreadsheet2,,spreadsheet4,,day 1 complete,,post_test_assessment,post_test_assessment,1,trial,Screen 1,6wu76v,1,info,audio finished,12651.00000000596,12650.1,12651.00000000596,12651.00000000596,12650.1,12651.00000000596,0,12651.00000000596,0,0,,Audio Clip,Audio,3,object-78,trial,___をしっていますか？,ojiisan_s,F_ojiisan_s.mp3,ojiisan,ojisan,oojisan,ochisan,training,long,vowel,i,ii,medial,おじいさん,おじさん,おおじさん,おちさん,,correct
