ID	pair	second_dim_step	first_dim_step	norm_response	pred
5031	indent-intent	1	6	89	81.9998848664263
5031	indent-intent	1	6	86	81.9998848664263
5031	indent-intent	2	6	80	82.0007548564781
5031	indent-intent	2	6	75	82.0007548564781
5031	indent-intent	2	6	94	82.0007548564781
5031	indent-intent	3	6	98	82.001473175375
5031	indent-intent	3	6	80	82.001473175375
5031	indent-intent	3	6	81	82.001473175375
5031	indent-intent	4	6	80	82.0020662623751
5031	indent-intent	4	6	70	82.0020662623751
5031	indent-intent	4	6	67	82.0020662623751
5031	indent-intent	5	6	90	82.0025559486772
5031	indent-intent	5	6	85	82.0025559486772
5031	indent-intent	5	6	86	82.0025559486772
5031	indent-intent	1	7	95	82.0047603550435
5031	indent-intent	1	7	65	82.0047603550435
5031	indent-intent	1	7	83	82.0047603550435
5031	indent-intent	2	7	85	82.0047803244973
5031	indent-intent	2	7	89	82.0047803244973
5031	indent-intent	2	7	78	82.0047803244973
5031	indent-intent	3	7	90	82.0047968121409
5031	indent-intent	3	7	91	82.0047968121409
5031	indent-intent	3	7	95	82.0047968121409
5031	indent-intent	4	7	89	82.0048104250501
5031	indent-intent	4	7	96	82.0048104250501
5031	indent-intent	4	7	67	82.0048104250501
5031	indent-intent	5	7	65	82.0048216644538
5031	indent-intent	5	7	95	82.0048216644538
5031	indent-intent	5	7	94	82.0048216644538
5031	kata-katta	1	1	13	35.6342673301086
5031	kata-katta	1	1	11	35.6342673301086
5031	kata-katta	1	1	80	35.6342673301086
5031	kata-katta	2	1	15	35.6358707519446
5031	kata-katta	2	1	74	35.6358707519446
5031	kata-katta	2	1	28	35.6358707519446
5031	kata-katta	3	1	71	35.6461753512952
5031	kata-katta	3	1	22	35.6461753512952
5031	kata-katta	4	1	27	35.712190027989
5031	kata-katta	4	1	70	35.712190027989
5031	kata-katta	4	1	21	35.712190027989
5031	kata-katta	5	1	23	36.1266879937374
5031	kata-katta	5	1	76	36.1266879937374
5031	kata-katta	5	1	23	36.1266879937374
5031	kata-katta	1	2	20	35.6361064093443
5031	kata-katta	1	2	32	35.6361064093443
5031	kata-katta	1	2	22	35.6361064093443
5031	kata-katta	2	2	23	35.6476890935167
5031	kata-katta	2	2	70	35.6476890935167
5031	kata-katta	2	2	71	35.6476890935167
5031	kata-katta	3	2	25	35.7218571744559
5031	kata-katta	3	2	14	35.7218571744559
5031	kata-katta	3	2	80	35.7218571744559
5031	kata-katta	4	2	15	36.1861922885261
5031	kata-katta	4	2	30	36.1861922885261
5031	kata-katta	4	2	27	36.1861922885261
5031	kata-katta	5	2	68	38.7299950297922
5031	kata-katta	5	2	27	38.7299950297922
5031	kata-katta	5	2	20	38.7299950297922
5031	kata-katta	1	3	32	35.6493904636682
5031	kata-katta	1	3	66	35.6493904636682
5031	kata-katta	1	3	50	35.6493904636682
5031	kata-katta	2	3	17	35.7327133029063
5031	kata-katta	2	3	23	35.7327133029063
5031	kata-katta	2	3	18	35.7327133029063
5031	kata-katta	3	3	33	36.2526595318494
5031	kata-katta	3	3	32	36.2526595318494
5031	kata-katta	3	3	24	36.2526595318494
5031	kata-katta	4	3	32	39.0499642660448
5031	kata-katta	4	3	20	39.0499642660448
5031	kata-katta	4	3	13	39.0499642660448
5031	kata-katta	5	3	33	47.1404143106328
5031	kata-katta	5	3	22	47.1404143106328
5031	kata-katta	5	3	80	47.1404143106328
5031	kata-katta	1	4	7	35.7449031276325
5031	kata-katta	1	4	23	35.7449031276325
5031	kata-katta	1	4	82	35.7449031276325
5031	kata-katta	2	4	20	36.3268478226506
5031	kata-katta	2	4	24	36.3268478226506
5031	kata-katta	2	4	24	36.3268478226506
5031	kata-katta	3	4	78	39.39581557186
5031	kata-katta	3	4	32	39.39581557186
5031	kata-katta	3	4	80	39.39581557186
5031	kata-katta	4	4	77	47.7225880903435
5031	kata-katta	4	4	31	47.7225880903435
5031	kata-katta	4	4	69	47.7225880903435
5031	kata-katta	5	4	16	54.0679904560869
5031	kata-katta	5	4	36	54.0679904560869
5031	kata-katta	5	4	66	54.0679904560869
5031	kata-katta	1	5	23	36.4095835136168
5031	kata-katta	1	5	62	36.4095835136168
5031	kata-katta	1	5	12	36.4095835136168
5031	kata-katta	2	5	29	39.7681624015849
5031	kata-katta	2	5	74	39.7681624015849
5031	kata-katta	2	5	75	39.7681624015849
5031	kata-katta	3	5	16	48.2923237205697
5031	kata-katta	3	5	65	48.2923237205697
5031	kata-katta	4	5	82	54.2668668169962
5031	kata-katta	4	5	71	54.2668668169962
5031	kata-katta	4	5	13	54.2668668169962
5031	kata-katta	5	5	72	55.7428395366946
