Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sentence,Spreadsheet: key_word,Spreadsheet: sound,Spreadsheet: correct_answer,Spreadsheet: competing_distractor,Spreadsheet: non_competing_distractor_1,Spreadsheet: non_competing_distractor_2,Spreadsheet: origin_task,Spreadsheet: length,Spreadsheet: segment_type,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity,Spreadsheet: word_position,Spreadsheet: c_label,Spreadsheet: cd_label,Spreadsheet: ncd1_label,Spreadsheet: ncd2_label,Manipulation: Spreadsheet,Store: Example
45,1748549376994,29/05/2025 20:09:36,1748524176994,-7,29/05/2025 06:09:36,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,6,trial,Screen 1,6wu76v,1,continue,,18738.299999952316,18732.199999999997,18738.299999952316,18738.299999952316,18732.199999999997,18738.299999952316,0,18738.299999952316,0,0,,Click To Continue,Continue Button,5,object-70,trial,そのことばは「___」とよみます。,oto_s,F_oto_s.mp3,oto,otto,ooto,otoo,training,short,consonant,t,t,medial,おと,おっと,おうと,おとう,,correct
46,1748549376998,29/05/2025 20:09:36,1748524176998,-7,29/05/2025 06:09:36,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,6,trial,Screen 1,6wu76v,1,response,oto,18742.099999904633,18732.199999999997,18742.099999904633,18742.099999904633,18732.199999999997,18742.099999904633,1,18742.099999904633,0,0,oto,CustomMultichoice,CustomMultichoice,4,object-68,trial,そのことばは「___」とよみます。,oto_s,F_oto_s.mp3,oto,otto,ooto,otoo,training,short,consonant,t,t,medial,おと,おっと,おうと,おとう,,correct
47,1748549378402,29/05/2025 20:09:38,1748524178402,-7,29/05/2025 06:09:38,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,7,trial,Screen 1,6wu76v,1,info,audio started,1413.3999999046355,1401.1000000000058,1413.3999999046355,1413.3999999046355,1401.1000000000058,1413.3999999046355,0,1413.3999999046355,0,0,,Audio Clip,Audio,3,object-78,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
48,1748549381284,29/05/2025 20:09:41,1748524181284,-7,29/05/2025 06:09:41,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,7,trial,Screen 1,6wu76v,1,info,audio finished,4296.099999952319,4287.199999999997,4296.099999952319,4296.099999952319,4287.199999999997,4296.099999952319,0,4296.099999952319,0,0,,Audio Clip,Audio,3,object-78,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
49,1748549382973,29/05/2025 20:09:42,1748524182973,-7,29/05/2025 06:09:42,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,7,trial,Screen 1,6wu76v,1,info,audio started,5984.999999928477,5971.800000000003,5984.999999928477,5984.999999928477,5971.800000000003,5984.999999928477,0,5984.999999928477,0,0,,Audio Clip,Audio,3,object-78,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
50,1748549385854,29/05/2025 20:09:45,1748524185854,-7,29/05/2025 06:09:45,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,7,trial,Screen 1,6wu76v,1,info,audio finished,8865.499999928477,8857.699999999997,8865.499999928477,8865.499999928477,8857.699999999997,8865.499999928477,0,8865.499999928477,0,0,,Audio Clip,Audio,3,object-78,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
51,1748549385938,29/05/2025 20:09:45,1748524185938,-7,29/05/2025 06:09:45,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,7,trial,Screen 1,6wu76v,1,action,hoosoo,8949.499999928477,8941.100000000006,8949.499999928477,8949.499999928477,8941.100000000006,8949.499999928477,1,8949.499999928477,0,0,,CustomMultichoice,CustomMultichoice,4,object-68,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
52,1748549387005,29/05/2025 20:09:47,1748524187005,-7,29/05/2025 06:09:47,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,7,trial,Screen 1,6wu76v,1,continue,,10010.099999999991,9992.5,10010.099999999991,10010.099999999991,9992.5,10010.099999999991,0,10010.099999999991,0,0,,Click To Continue,Continue Button,5,object-70,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
53,1748549387010,29/05/2025 20:09:47,1748524187010,-7,29/05/2025 06:09:47,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,7,trial,Screen 1,6wu76v,1,response,hoosoo,10010.099999999991,9992.5,10010.099999999991,10010.099999999991,9992.5,10010.099999999991,1,10010.099999999991,0,0,hoosoo,CustomMultichoice,CustomMultichoice,4,object-68,trial,このじょうきょうに___がいるとおもう。,hoosoo_s,F_hoosoo_s.mp3,hoosoo,hosoo,hossoo,hooso,testing,long,vowel,o,oo,medial,ほうそう,ほそう,ほっそう,ほうそ,,correct
54,1748549389140,29/05/2025 20:09:49,1748524189140,-7,29/05/2025 06:09:49,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,8,trial,Screen 1,6wu76v,1,info,audio started,2158.9999999284773,2150.9000000000087,2158.9999999284773,2158.9999999284773,2150.9000000000087,2158.9999999284773,0,2158.9999999284773,0,0,,Audio Clip,Audio,3,object-78,trial,いや、___じゃないよ。,hossoku_s,F_hossoku_s.mp3,hossoku,hosoku,hoosoku,hassoku,testing,long,consonant,s,ss,medial,ほっそく,ほそく,ほうそく,はっそく,,correct
55,1748549391014,29/05/2025 20:09:51,1748524191014,-7,29/05/2025 06:09:51,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,8,trial,Screen 1,6wu76v,1,info,audio finished,4032.699999976161,4019.4000000000087,4032.699999976161,4032.699999976161,4019.4000000000087,4032.699999976161,0,4032.699999976161,0,0,,Audio Clip,Audio,3,object-78,trial,いや、___じゃないよ。,hossoku_s,F_hossoku_s.mp3,hossoku,hosoku,hoosoku,hassoku,testing,long,consonant,s,ss,medial,ほっそく,ほそく,ほうそく,はっそく,,correct
56,1748549393027,29/05/2025 20:09:53,1748524193027,-7,29/05/2025 06:09:53,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,8,trial,Screen 1,6wu76v,1,info,audio started,6045.8999999046355,6037.300000000003,6045.8999999046355,6045.8999999046355,6037.300000000003,6045.8999999046355,0,6045.8999999046355,0,0,,Audio Clip,Audio,3,object-78,trial,いや、___じゃないよ。,hossoku_s,F_hossoku_s.mp3,hossoku,hosoku,hoosoku,hassoku,testing,long,consonant,s,ss,medial,ほっそく,ほそく,ほうそく,はっそく,,correct
57,1748549394903,29/05/2025 20:09:54,1748524194903,-7,29/05/2025 06:09:54,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,8,trial,Screen 1,6wu76v,1,info,audio finished,7922.099999999991,7905.699999999997,7922.099999999991,7922.099999999991,7905.699999999997,7922.099999999991,0,7922.099999999991,0,0,,Audio Clip,Audio,3,object-78,trial,いや、___じゃないよ。,hossoku_s,F_hossoku_s.mp3,hossoku,hosoku,hoosoku,hassoku,testing,long,consonant,s,ss,medial,ほっそく,ほそく,ほうそく,はっそく,,correct
58,1748549394934,29/05/2025 20:09:54,1748524194934,-7,29/05/2025 06:09:54,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,8,trial,Screen 1,6wu76v,1,action,hossoku,7953.199999976161,7939.300000000003,7953.199999976161,7953.199999976161,7939.300000000003,7953.199999976161,1,7953.199999976161,0,0,,CustomMultichoice,CustomMultichoice,4,object-68,trial,いや、___じゃないよ。,hossoku_s,F_hossoku_s.mp3,hossoku,hosoku,hoosoku,hassoku,testing,long,consonant,s,ss,medial,ほっそく,ほそく,ほうそく,はっそく,,correct
59,1748549395810,29/05/2025 20:09:55,1748524195810,-7,29/05/2025 06:09:55,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,8,trial,Screen 1,6wu76v,1,continue,,8829.499999928477,8823.900000000009,8829.499999928477,8829.499999928477,8823.900000000009,8829.499999928477,0,8829.499999928477,0,0,,Click To Continue,Continue Button,5,object-70,trial,いや、___じゃないよ。,hossoku_s,F_hossoku_s.mp3,hossoku,hosoku,hoosoku,hassoku,testing,long,consonant,s,ss,medial,ほっそく,ほそく,ほうそく,はっそく,,correct
60,1748549395811,29/05/2025 20:09:55,1748524195811,-7,29/05/2025 06:09:55,220732,2,task-6f19,repeat-m9cn#4,46658081,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,8,trial,Screen 1,6wu76v,1,response,hossoku,8830.300000000003,8823.900000000009,8830.300000000003,8830.300000000003,8823.900000000009,8830.300000000003,1,8830.300000000003,0,0,hossoku,CustomMultichoice,CustomMultichoice,4,object-68,trial,いや、___じゃないよ。,hossoku_s,F_hossoku_s.mp3,hossoku,hosoku,hoosoku,hassoku,testing,long,consonant,s,ss,medial,ほっそく,ほそく,ほうそく,はっそく,,correct
