"display","sound","pair","language","first_dim_step","second_dim_step","endpoint_1","endpoint_2","left_word","right_word","randomize_trials","break_duration","block_display"
"break_1D",,,,,,,,,,,"30000",
"block_display",,"reason-risen",,,,,,"reason.png","risen.png",,"","Block 2 of 4"
"trial","I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"left_word","right_word",,,2,"",
"trial","I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"left_word","right_word",,,2,"",
"break_1D",,,,,,,,,,,"30000",
"block_display",,"kata-katta",,,,,,"kata.png","katta.png",,"","Block 3 of 4"
"trial","T_TT_dur_1_F0_3.mp3","kata-katta","Japanese",1,3,"left_word","right_word",,,3,"",
