"ID","exp_group","prepost","response","reaction_time","correct","sentence","key_word","sound","correct_answer","competing_distractor","non_competing_distractor_1","non_competing_distractor_2","origin_task","days_between","log_rt"
"3","Control","Pre","ikkoo",22287.699999999633,1,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing",23,10.011790235771048
"3","Control","Pre","hooso",19700.199999999983,0,"このじょうきょうに___がいるとおもう。","hoosoo_s","F_hoosoo_s.mp3","hoosoo","hosoo","hossoo","hooso","testing",23,9.888384066958809
"3","Control","Pre","haaku",13209.100000000006,1,"___でしょうかな。","haaku_s","F_haaku_s.mp3","haaku","haku","hakku","hakuu","training",23,9.488661264991013
"3","Control","Pre","isshoku",13091.899999999268,1,"___にきめました。","isshoku_s","F_isshoku_s.mp3","isshoku","ishoku","iishoku","issoku","training",23,9.479748997339476
"3","Control","Pre","yusoo",94939.69999999888,1,"あれはきっと___できないよ。","yusoo_s","F_yusoo_s.mp3","yusoo","yuusoo","yussoo","usoo","training",23,11.460997232209847
"3","Control","Pre","juutaku",11227.399999999268,1,"___のことをかんがえましょう。","juutaku_s","F_juutaku_s.mp3","juutaku","jutaku","juttaku","shuutaku","training",23,9.326112498219869
"3","Control","Pre","otoo",27978.49999999965,0,"そのことばは「___」とよみます。","oto_s","F_oto_s.mp3","oto","otto","ooto","otoo","training",23,10.239191637061177
"3","Control","Pre","shiteiru",12998.100000000037,1,"かのじょはもう___。","shiteiru_s","F_shiteiru_s.mp3","shiteiru","shitteiru","shiiteiru","jiteiru","testing",23,9.472558471916008
"3","Control","Pre","kassee",9010.899999999616,0,"___についてもっとしりたいです。","kasee_s","F_kasee_s.mp3","kasee","kassee","kase","kosee","training",23,9.106190234625975
"3","Control","Post","yusoo",12906.6,1,"あれはきっと___できないよ。","yusoo_s","F_yusoo_s.mp3","yusoo","yuusoo","yussoo","usoo","training",23,9.465494087419808
"3","Control","Post","haaku",4615.4000000000015,1,"___でしょうかな。","haaku_s","F_haaku_s.mp3","haaku","haku","hakku","hakuu","training",23,8.43715381707048
"3","Control","Post","kasee",9712.90000004768,1,"___についてもっとしりたいです。","kasee_s","F_kasee_s.mp3","kasee","kassee","kase","kosee","training",23,9.181210177873957
"3","Control","Post","hossoku",9075.800000095369,1,"いや、___じゃないよ。","hossoku_s","F_hossoku_s.mp3","hossoku","hosoku","hoosoku","hassoku","testing",23,9.113366809528173
"3","Control","Post","juutaku",8195.800000190735,1,"___のことをかんがえましょう。","juutaku_s","F_juutaku_s.mp3","juutaku","jutaku","juttaku","shuutaku","training",23,9.011377106936937
"3","Control","Post","iitai",5326.699999999997,1,"「___」とかいてありますか？","iitai_s","F_iitai_s.mp3","iitai","itai","ittai","intai","testing",23,8.580487188454853
"3","Control","Post","itte",7428.000000095366,1,"もう、___よ！","itte_s","F_itte_s.mp3","itte","ite","ittee","iitte","training",23,8.913011922485435
"3","Control","Post","oojisan",6466.700000143057,0,"___をしっていますか？","ojiisan_s","F_ojiisan_s.mp3","ojiisan","ojisan","oojisan","ochisan","training",23,8.774421211031322
"3","Control","Post","ikkoo",18470.000000095373,1,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing",23,9.82390307319845
"3","Control","Post","shuchoo",18802.400000143058,1,"じぶんだけの___です。","shuchoo_s","F_shuchoo_s.mp3","shuchoo","shucchoo","juchoo","shuuchoo","testing",23,9.841739800252327
"3","Control","Post","tannin",5062.5,1,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing",23,8.529615711414795
"3","Control","Post","juyoo",11277.400000095367,1,"「___」ってどういういみですか？","juyoo_s","F_juyoo_s.mp3","juyoo","juuyoo","juyo","shuyoo","testing",23,9.330556002038215
"3","Control","Post","gaki",4840.3000000476895,1,"___はどうなったの？","gaki_s","F_gaki_s.mp3","gaki","gakki","gakui","kaki","training",23,8.48473198127071
"3","Control","Post","meshi",7288.100000190723,1,"これは___ですよ。","meshi_s","F_meshi_s.mp3","meshi","meeshi","messhi","mashi","testing",23,8.89399816005734
"3","Control","Post","shushin",14230.800000143065,1,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing",23,9.563163908768804
"3","Control","Post","shitteiru",6742.000000095373,0,"かのじょはもう___。","shiteiru_s","F_shiteiru_s.mp3","shiteiru","shitteiru","shiiteiru","jiteiru","testing",23,8.816111895808152
"3","Control","Post","isshoku",6773.300000143063,1,"___にきめました。","isshoku_s","F_isshoku_s.mp3","isshoku","ishoku","iishoku","issoku","training",23,8.820743691773478
"3","Control","Post","otoo",11491.900000047695,0,"そのことばは「___」とよみます。","oto_s","F_oto_s.mp3","oto","otto","ooto","otoo","training",23,9.349397718359937
"3","Control","Post","hoosoo",11416.700000000012,1,"このじょうきょうに___がいるとおもう。","hoosoo_s","F_hoosoo_s.mp3","hoosoo","hosoo","hossoo","hooso","testing",23,9.342832474726029
"3","Control","Post","obaasan",7175.000000143045,0,"あのひと、___ですか？","obasan_s","F_obasan_s.mp3","obasan","obaasan","oobasan","obaisan","training",23,8.87835804064776
"4","High LD","Pre","itte",8349.699999999997,1,"もう、___よ！","itte_s","F_itte_s.mp3","itte","ite","ittee","iitte","training",33,9.029980889055757
"4","High LD","Pre","ojisan",8515.999999999258,0,"___をしっていますか？","ojiisan_s","F_ojiisan_s.mp3","ojiisan","ojisan","oojisan","ochisan","training",33,9.049702026013282
"4","High LD","Pre","oto",15232.9,1,"そのことばは「___」とよみます。","oto_s","F_oto_s.mp3","oto","otto","ooto","otoo","training",33,9.631212841420083
"4","High LD","Pre","shusshin",18566.79999999776,0,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing",33,9.829130318549906
"4","High LD","Pre","hossoku",6083.299999999988,1,"いや、___じゃないよ。","hossoku_s","F_hossoku_s.mp3","hossoku","hosoku","hoosoku","hassoku","testing",33,8.71330259087546
"4","High LD","Pre","obasan",7648.100000000006,1,"あのひと、___ですか？","obasan_s","F_obasan_s.mp3","obasan","obaasan","oobasan","obaisan","training",33,8.942212529959564
"4","High LD","Pre","juyoo",12465.899999997768,1,"「___」ってどういういみですか？","juyoo_s","F_juyoo_s.mp3","juyoo","juuyoo","juyo","shuyoo","testing",33,9.430752195517094
"4","High LD","Pre","isshoku",7432.999999999258,1,"___にきめました。","isshoku_s","F_isshoku_s.mp3","isshoku","ishoku","iishoku","issoku","training",33,8.913684824725193
"4","High LD","Pre","shiteiru",13816.499999998516,1,"かのじょはもう___。","shiteiru_s","F_shiteiru_s.mp3","shiteiru","shitteiru","shiiteiru","jiteiru","testing",33,9.533618809096293
"4","High LD","Pre","gakki",6848.5,0,"___はどうなったの？","gaki_s","F_gaki_s.mp3","gaki","gakki","gakui","kaki","training",33,8.831784929174876
"4","High LD","Pre","juutaku",8851.700000000012,1,"___のことをかんがえましょう。","juutaku_s","F_juutaku_s.mp3","juutaku","jutaku","juttaku","shuutaku","training",33,9.088364809950459
"4","High LD","Pre","ikkoo",7049.599999999249,1,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing",33,8.860726156607917
"4","High LD","Pre","haaku",5914.999999998516,1,"___でしょうかな。","haaku_s","F_haaku_s.mp3","haaku","haku","hakku","hakuu","training",33,8.685246776412237
"4","High LD","Pre","kassee",7583.700000000012,0,"___についてもっとしりたいです。","kasee_s","F_kasee_s.mp3","kasee","kassee","kase","kosee","training",33,8.933756486190436
"4","High LD","Pre","iitai",7466.5,1,"「___」とかいてありますか？","iitai_s","F_iitai_s.mp3","iitai","itai","ittai","intai","testing",33,8.918181627497324
"4","High LD","Pre","tannin",20933.099999997765,1,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing",33,9.949086917229137
"4","High LD","Pre","yusoo",10566.299999999988,1,"あれはきっと___できないよ。","yusoo_s","F_yusoo_s.mp3","yusoo","yuusoo","yussoo","usoo","training",33,9.265424970279733
"4","High LD","Pre","shuchoo",14865.799999999988,1,"じぶんだけの___です。","shuchoo_s","F_shuchoo_s.mp3","shuchoo","shucchoo","juchoo","shuuchoo","testing",33,9.606818551676644
"4","High LD","Pre","hoosoo",8633.29999999996,1,"このじょうきょうに___がいるとおもう。","hoosoo_s","F_hoosoo_s.mp3","hoosoo","hosoo","hossoo","hooso","testing",33,9.0633820980082
"4","High LD","Pre","meshi",7282,1,"これは___ですよ。","meshi_s","F_meshi_s.mp3","meshi","meeshi","messhi","mashi","testing",33,8.893160828735379
"4","High LD","Post","tanin",18432.60000000149,0,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing",33,9.821876115049225
"4","High LD","Post","haaku",9149.50000000112,1,"___でしょうかな。","haaku_s","F_haaku_s.mp3","haaku","haku","hakku","hakuu","training",33,9.121454511967864
"4","High LD","Post","hoosoo",11366.40000000075,1,"このじょうきょうに___がいるとおもう。","hoosoo_s","F_hoosoo_s.mp3","hoosoo","hosoo","hossoo","hooso","testing",33,9.338416913917808
"4","High LD","Post","gaki",6599.899999999965,1,"___はどうなったの？","gaki_s","F_gaki_s.mp3","gaki","gakki","gakui","kaki","training",33,8.794809776384575
"4","High LD","Post","ikkoo",5348.8000000000175,1,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing",33,8.584627515665838
"4","High LD","Post","isshoku",9033.899999999963,1,"___にきめました。","isshoku_s","F_isshoku_s.mp3","isshoku","ishoku","iishoku","issoku","training",33,9.1087394468595
"4","High LD","Post","shusshin",8116.599999999977,0,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing",33,9.001666626256531
"4","High LD","Post","obasan",7415.500000000757,1,"あのひと、___ですか？","obasan_s","F_obasan_s.mp3","obasan","obaasan","oobasan","obaisan","training",33,8.911327683182119
"4","High LD","Post","juutaku",8583.400000000023,1,"___のことをかんがえましょう。","juutaku_s","F_juutaku_s.mp3","juutaku","jutaku","juttaku","shuutaku","training",33,9.057585384383904
"4","High LD","Post","shuchoo",16899.899999999965,1,"じぶんだけの___です。","shuchoo_s","F_shuchoo_s.mp3","shuchoo","shucchoo","juchoo","shuuchoo","testing",33,9.735062983733894
"4","High LD","Post","ojiisan",9666.200000000012,1,"___をしっていますか？","ojiisan_s","F_ojiisan_s.mp3","ojiisan","ojisan","oojisan","ochisan","training",33,9.176390543273117
"4","High LD","Post","itte",7249.500000000757,1,"もう、___よ！","itte_s","F_itte_s.mp3","itte","ite","ittee","iitte","training",33,8.888687779953353
"4","High LD","Post","hossoku",6615.600000000733,1,"いや、___じゃないよ。","hossoku_s","F_hossoku_s.mp3","hossoku","hosoku","hoosoku","hassoku","testing",33,8.797185775383749
"4","High LD","Post","meshi",7299.300000000367,1,"これは___ですよ。","meshi_s","F_meshi_s.mp3","meshi","meeshi","messhi","mashi","testing",33,8.895533732127795
"4","High LD","Post","juyoo",8399.000000000378,1,"「___」ってどういういみですか？","juyoo_s","F_juyoo_s.mp3","juyoo","juuyoo","juyo","shuyoo","testing",33,9.035867930125672
"4","High LD","Post","yusoo",10932.90000000113,1,"あれはきっと___できないよ。","yusoo_s","F_yusoo_s.mp3","yusoo","yuusoo","yussoo","usoo","training",33,9.299531870772434
"4","High LD","Post","shiteiru",14533.000000000378,1,"かのじょはもう___。","shiteiru_s","F_shiteiru_s.mp3","shiteiru","shitteiru","shiiteiru","jiteiru","testing",33,9.584177204626197
"4","High LD","Post","oto",13116.79999999993,1,"そのことばは「___」とよみます。","oto_s","F_oto_s.mp3","oto","otto","ooto","otoo","training",33,9.481649130310013
"4","High LD","Post","kassee",8432.60000000114,0,"___についてもっとしりたいです。","kasee_s","F_kasee_s.mp3","kasee","kassee","kase","kosee","training",33,9.03986042574496
"4","High LD","Post","iitai",6382.600000000384,1,"「___」とかいてありますか？","iitai_s","F_iitai_s.mp3","iitai","itai","ittai","intai","testing",33,8.761330816834715
"6","Low LD","Pre","ojiisan",19252,1,"___をしっていますか？","ojiisan_s","F_ojiisan_s.mp3","ojiisan","ojisan","oojisan","ochisan","training",32,9.865370230423
"6","Low LD","Pre","shusshin",17746.599999999984,0,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing",32,9.783949227259876
"6","Low LD","Pre","otto",26938.89999999999,0,"そのことばは「___」とよみます。","oto_s","F_oto_s.mp3","oto","otto","ooto","otoo","training",32,10.20132661765337
"6","Low LD","Pre","hossoku",12706.900000023845,1,"いや、___じゃないよ。","hossoku_s","F_hossoku_s.mp3","hossoku","hosoku","hoosoku","hassoku","testing",32,9.449900431997314
"6","Low LD","Pre","yussoo",15227.099999999991,0,"あれはきっと___できないよ。","yusoo_s","F_yusoo_s.mp3","yusoo","yuusoo","yussoo","usoo","training",32,9.63083201410097
"6","Low LD","Pre","hoosoo",21588.60000000002,1,"このじょうきょうに___がいるとおもう。","hoosoo_s","F_hoosoo_s.mp3","hoosoo","hosoo","hossoo","hooso","testing",32,9.979920676570766
"6","Low LD","Pre","obasan",9880.29999999996,1,"あのひと、___ですか？","obasan_s","F_obasan_s.mp3","obasan","obaasan","oobasan","obaisan","training",32,9.19829815465339
"6","Low LD","Pre","iitai",8436.8000000238535,1,"「___」とかいてありますか？","iitai_s","F_iitai_s.mp3","iitai","itai","ittai","intai","testing",32,9.040358368779033
"6","Low LD","Pre","shuchoo",23649.90000002383,1,"じぶんだけの___です。","shuchoo_s","F_shuchoo_s.mp3","shuchoo","shucchoo","juchoo","shuuchoo","testing",32,10.071114165582337
"6","Low LD","Pre","ikkoo",13003.600000047678,1,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing",32,9.472981521188146
"6","Low LD","Pre","messhi",11131.79999999996,0,"これは___ですよ。","meshi_s","F_meshi_s.mp3","meshi","meeshi","messhi","mashi","testing",32,9.317561156260883
"6","Low LD","Pre","isshoku",10280.399999999994,1,"___にきめました。","isshoku_s","F_isshoku_s.mp3","isshoku","ishoku","iishoku","issoku","training",32,9.237994448757998
