"local_date","day","ID","response","reaction_time","correct","condition","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","log_rt","median_rt","mad","upper_mad","lower_mad"
"2025-03-13","1","101","same",1794.599999997008,0,"highLD","oto-otto","different","AB","oto","otto","F_oto.mp3","M_otto.mp3","different","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",7.49253743486229,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",919.100000005972,1,"highLD","obasan-obaasan","different","AB","obasan","obaasan","F_obasan.mp3","M_obaasan.mp3","different","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",6.823394930370561,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1811.5000000059372,1,"highLD","ojisan-ojiisan","different","AB","ojisan","ojiisan","F_ojisan.mp3","F_ojiisan.mp3","same","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",7.501910510338409,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",975.7999999940512,1,"highLD","oto-otto","same","AA","oto","otto","F_oto.mp3","M_oto.mp3","different","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",6.883257647375641,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1994.599999997008,1,"highLD","kasee-kassee","different","BA","kasee","kassee","M_kassee.mp3","F_kasee.mp3","different","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",7.598198807966267,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",853.8999999999651,0,"highLD","ite-itte","different","BA","ite","itte","M_itte.mp3","F_ite.mp3","different","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",6.749814090913519,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",923.4999999999418,1,"highLD","shiru-shiiru","same","AA","shiru","shiiru","F_shiru.mp3","M_shiru.mp3","different","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",6.828170799639231,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1060.8999999969965,1,"highLD","heta-hetta","different","BA","heta","hetta","F_hetta.mp3","F_heta.mp3","same","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",6.966872883462395,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",534.0000000059372,1,"highLD","saka-sakka","same","BB","saka","sakka","M_sakka.mp3","M_sakka.mp3","same","Japanese","slope, hill","author","LH(L)","LHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",6.280395838971313,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",562.4999999970314,1,"highLD","ishoku-isshoku","same","AA","ishoku","isshoku","M_ishoku.mp3","M_ishoku.mp3","same","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",6.332391134073298,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",471.7000000059488,1,"highLD","iso-isso","same","AA","iso","isso","F_iso.mp3","F_iso.mp3","same","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",6.156343190302827,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",277.1000000030035,1,"highLD","shiru-shiiru","same","BB","shiru","shiiru","F_shiiru.mp3","F_shiiru.mp3","same","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",5.624378451879772,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",363.1000000059721,1,"highLD","3atama-3attama","same","AA","3atama","3attama","M_3atama.mp3","M_3atama.mp3","same","MSA","to become dark, to hestitate","to darken, delay","","","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",5.8946782784367375,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",782.7000000059488,1,"highLD","ful-fuul","different","AB","ful","fuul","M_ful.mp3","F_fuul.mp3","different","MSA","jasmine flower","fava beans","","","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",6.662749480818393,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
