Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress,allocator-cukp,randomiser-fgpw
21,1742073541956,"15/03/2025, 21:19:01",1742055541956,-5,"15/03/2025, 11:19:01",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,trial,response,b4qig6,4,continue,,3980.9999998569474,3967.899999999998,3980.9999998569474,3980.9999998569474,3967.899999999998,3980.9999998569474,1,0,0,,Click To Continue,Continue Button,6,object-328,trial,I_IH_spec_3_dur_3.mp3,reason-risen,English,2,,,3,3,left_word,right_word,,,,28,,risen.png,reason.png,,1,spreadsheet2,
22,1742073541962,"15/03/2025, 21:19:01",1742055541962,-5,"15/03/2025, 11:19:01",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,1,trial,response,b4qig6,4,response,51,2867.5,3967.899999999998,3984.4999999999964,2867.5,3967.899999999998,3984.4999999999964,1,1116.9999999999964,0,response_slider,Slider,Slider,2,object-45,trial,I_IH_spec_3_dur_3.mp3,reason-risen,English,2,,,3,3,left_word,right_word,,,,28,,risen.png,reason.png,,2,spreadsheet2,
23,1742073542093,"15/03/2025, 21:19:02",1742055542093,-5,"15/03/2025, 11:19:02",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,2,trial,150 ms pause,rz316y,1,timedOut,,150.2999999046333,150,150.2999999046333,150.2999999046333,150,150.2999999046333,1,0,0,,Time Limit,screen,0,screen,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,2,spreadsheet2,
24,1742073542096,"15/03/2025, 21:19:02",1742055542096,-5,"15/03/2025, 11:19:02",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,2,trial,fixation and stimuli,qfds9m,2,info,audio started,2.799999904633296,0,2.799999904633296,2.799999904633296,0,2.799999904633296,1,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,2,spreadsheet2,
25,1742073542802,"15/03/2025, 21:19:02",1742055542802,-5,"15/03/2025, 11:19:02",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,2,trial,fixation and stimuli,qfds9m,2,info,audio finished,708.5999998569496,699.4000000000015,708.5999998569496,708.5999998569496,699.4000000000015,708.5999998569496,1,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,2,spreadsheet2,
26,1742073542802,"15/03/2025, 21:19:02",1742055542802,-5,"15/03/2025, 11:19:02",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,2,trial,fixation and stimuli,qfds9m,2,continue,,708.7999999046333,699.4000000000015,708.7999999046333,708.7999999046333,699.4000000000015,708.7999999046333,1,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,2,spreadsheet2,
27,1742073542944,"15/03/2025, 21:19:02",1742055542944,-5,"15/03/2025, 11:19:02",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,2,trial,150ms pause,ceke9i,3,timedOut,,151.79999999999927,150,151.79999999999927,151.79999999999927,150,151.79999999999927,1,0,0,,Time Limit,screen,0,screen,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,2,spreadsheet2,
28,1742073542949,"15/03/2025, 21:19:02",1742055542949,-5,"15/03/2025, 11:19:02",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,2,trial,response,b4qig6,4,info,,6.599999952315557,0,6.599999952315557,6.599999952315557,0,6.599999952315557,1,0,0,response_slider,Slider,Slider,2,object-45,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,2,spreadsheet2,
29,1742073545307,"15/03/2025, 21:19:05",1742055545307,-5,"15/03/2025, 11:19:05",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,2,trial,response,b4qig6,4,continue,,2364.899999904632,2351,2364.899999904632,2364.899999904632,2351,2364.899999904632,1,0,0,,Click To Continue,Continue Button,6,object-328,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,2,spreadsheet2,
30,1742073545308,"15/03/2025, 21:19:05",1742055545308,-5,"15/03/2025, 11:19:05",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,2,trial,response,b4qig6,4,response,40,1417.5,2351,2365.399999904632,1417.5,2351,2365.399999904632,1,947.8999999046318,0,response_slider,Slider,Slider,2,object-45,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,3,spreadsheet2,
31,1742073545444,"15/03/2025, 21:19:05",1742055545444,-5,"15/03/2025, 11:19:05",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,3,trial,150 ms pause,rz316y,1,timedOut,,150.89999990463184,149.39999999999782,150.89999990463184,150.89999990463184,149.39999999999782,150.89999990463184,1,0,0,,Time Limit,screen,0,screen,trial,I_IH_spec_3_dur_3.mp3,reason-risen,English,2,,,3,3,left_word,right_word,,,,28,,risen.png,reason.png,,3,spreadsheet2,
32,1742073545446,"15/03/2025, 21:19:05",1742055545446,-5,"15/03/2025, 11:19:05",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,3,trial,fixation and stimuli,qfds9m,2,info,audio started,3.400000000001455,0,3.400000000001455,3.400000000001455,0,3.400000000001455,1,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_3_dur_3.mp3,reason-risen,English,2,,,3,3,left_word,right_word,,,,28,,risen.png,reason.png,,3,spreadsheet2,
33,1742073546153,"15/03/2025, 21:19:06",1742055546153,-5,"15/03/2025, 11:19:06",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,3,trial,fixation and stimuli,qfds9m,2,info,audio finished,700,683.2000000000007,700,700,683.2000000000007,700,1,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_3_dur_3.mp3,reason-risen,English,2,,,3,3,left_word,right_word,,,,28,,risen.png,reason.png,,3,spreadsheet2,
34,1742073546153,"15/03/2025, 21:19:06",1742055546153,-5,"15/03/2025, 11:19:06",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,3,trial,fixation and stimuli,qfds9m,2,continue,,700,683.2000000000007,700,700,683.2000000000007,700,1,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_3_dur_3.mp3,reason-risen,English,2,,,3,3,left_word,right_word,,,,28,,risen.png,reason.png,,3,spreadsheet2,
35,1742073546294,"15/03/2025, 21:19:06",1742055546294,-5,"15/03/2025, 11:19:06",219192,2,task-7l99,,44436827,12949418,GroupLowLD2,complete,,67d5ed354e69f74d8c6e9b02,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 133.0.0.0,2560x1440,2568x1294,,VAS Task,5,spreadsheet2_1D,3,trial,150ms pause,ceke9i,3,timedOut,,165.80000000000655,150.00000000000364,165.80000000000655,165.80000000000655,150.00000000000364,165.80000000000655,1,0,0,,Time Limit,screen,0,screen,trial,I_IH_spec_3_dur_3.mp3,reason-risen,English,2,,,3,3,left_word,right_word,,,,28,,risen.png,reason.png,,3,spreadsheet2,
