ID	ax_condition	day	prepost	language	pair	second_dim_step	Min	Max	Crossover	Slope	PointVar	exitflag	R	LS	AR	N	status	comment
147	lowLD	2	post-training	English	indent-intent	3	1.40005198545623e-08	94.7057517476452	3.47151576188914	24.1646670133682	12.0880650898002	2060	0.937428510830117	146.121317615246	0.140492894390053	28	1	
147	lowLD	2	post-training	English	reason-risen	3	7.11467151859324e-09	75.1172418376882	3.55547056147513	20.7001517488896	8.57914104574878	2020	0.955385316322199	73.6016610828514	-0.15333832930524	27	1	
147	lowLD	2	post-training	Japanese	kata-katta	3	30.2953087498019	45.1756699517008	4.04317435808249	9.0512529708535	12.6123732307622	2030	0.458018192705869	159.071958512047	-0.169219581399208	28	1	
147	lowLD	2	post-training	Japanese	toru-tooru	3	1.42806091212926	99.9999999759368	4.81577160367525	27.6482982140003	13.8638609431755	2060	0.92587219220119	192.206640251708	-0.160523437428466	28	1	
148	lowLD	1	pre-training	English	indent-intent	3	0.0121630083763691	85.7277810402626	2.8571687221672	41.3068844133711	22.9468927946991	2100	0.824897130686182	526.559888931413	-0.195533859430144	28	1	
148	lowLD	1	pre-training	English	reason-risen	3	5.19156855643559	91.8294445561651	3.98325634101664	65.0384289195034	15.4229579626988	2060	0.928685302529352	237.867632319175	-0.665030410111564	26	1	
148	lowLD	1	pre-training	Japanese	kata-katta	3	17.4038193629872	75.2216942900542	3.16300247264856	17.3345514478099	20.3605969342348	2070	0.705035447487155	414.553907518373	-0.0146779679201702	28	1	
148	lowLD	1	pre-training	Japanese	toru-tooru	3	5.86155886769698	94.3758950136412	3.22179384558879	97.9129378340793	12.7595302285617	2070	0.95329429335869	162.80561165358	-0.139502110772497	27	1	
148	lowLD	2	post-training	English	indent-intent	3	5.18080298651656	87.3073522441066	2.55017749568943	46.0766054180501	17.7056374786253	2040	0.869834625152034	313.489598524499	-0.13853425710907	28	1	
148	lowLD	2	post-training	English	reason-risen	3	4.60182761397736	91.8125408330316	3.81046065252571	85.4238824337212	12.4713308015865	2080	0.956139628587696	155.534091962601	-0.600048331307774	27	1	
148	lowLD	2	post-training	Japanese	kata-katta	3	17.1697945389885	85.0852769116345	4.67118313921437	30.8205843505003	17.5572363390748	2020	0.836882738416511	308.256547866128	-0.291867711851694	25	1	
