"ID","age","gender","context_hours_watching","passive_watching_lang1","passive_watching_lang1_hours","passive_watching_lang2","passive_watching_lang2_hours","passive_watching_lang3","passive_watching_lang3_hours","passive_watching_lang4","passive_watching_lang4_hours","context_hours_listening","passive_listening_lang1","passive_listening_lang1_hours","passive_listening_lang2","passive_listening_lang2_hours","passive_listening_lang3","passive_listening_lang3_hours","passive_listening_lang4","passive_listening_lang4_hours","context_hours_games","passive_games_lang1","passive_games_lang1_hours","passive_games_lang2","passive_games_lang2_hours","passive_games_lang3","passive_games_lang3_hours","passive_games_lang4","passive_games_lang4_hours","context_hours_internet","passive_internet_lang1","passive_internet_lang1_hours","passive_internet_lang2","passive_internet_lang2_hours","passive_internet_lang3","passive_internet_lang3_hours","passive_internet_lang4","passive_internet_lang4_hours","context_hours_home","passive_home_lang1","passive_home_lang1_hours","passive_home_lang2","passive_home_lang2_hours","passive_home_lang3","passive_home_lang3_hours","passive_home_lang4","passive_home_lang4_hours","context_hours_family","passive_family_lang1","passive_family_lang1_hours","passive_family_lang2","passive_family_lang2_hours","passive_family_lang3","passive_family_lang3_hours","passive_family_lang4","passive_family_lang4_hours","context_hours_social","passive_social_lang1","passive_social_lang1_hours","passive_social_lang2","passive_social_lang2_hours","passive_social_lang3","passive_social_lang3_hours","passive_social_lang4","passive_social_lang4_hours","context_hours_work_school","passive_work_school_lang1","passive_work_school_lang1_hours","passive_work_school_lang2","passive_work_school_lang2_hours","passive_work_school_lang3","passive_work_school_lang3_hours","passive_work_school_lang4","passive_work_school_lang4_hours","context_hours_out_of_home","passive_out_of_home_lang1","passive_out_of_home_lang1_hours","passive_out_of_home_lang2","passive_out_of_home_lang2_hours","passive_out_of_home_lang3","passive_out_of_home_lang3_hours","passive_out_of_home_lang4","passive_out_of_home_lang4_hours","context_hours_other","context_hours_other_please_specify","passive_other_lang1","passive_other_lang1_hours","passive_other_lang2","passive_other_lang2_hours","passive_other_lang3","passive_other_lang3_hours","passive_other_lang4","passive_other_lang4_hours","hours_awake_question_15","other_info_part_2_question_16","passie_family_lang4_hours"
"5695",38,"Male",3,"English",3,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,16,"English",16,NA,NA,NA,NA,NA,NA,5,"english",5,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,10,"English",10,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
"6106",40,"Male",1,"english",1,NA,NA,NA,NA,NA,NA,1,"english",0.5,"spanish",0.5,NA,NA,NA,NA,1,"english",1,NA,NA,NA,NA,NA,NA,1,"english",0.75,"spanish",0.25,NA,NA,NA,NA,14,"english",14,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"english",1.5,"spanish",0.5,NA,NA,NA,NA,8,"english",8,"spanish",2,"tagalog",0.5,NA,NA,2,"english",1.75,"spanish",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA
"5617",30,"Male",2,"English",1.5,"Japanese",0.2,"Spanish",0.3,NA,NA,1,"English",0.7,"Korean",0.2,"Spanish",0.1,NA,NA,2,"English",1.5,"Japanese",0.5,NA,NA,NA,NA,2,"English",1.5,"Spanish",0.5,NA,NA,NA,NA,3,"English",2,"Spanish",0.5,"Korean",0.5,NA,NA,2,"English",1.6,"Italian",0.4,NA,NA,NA,NA,2,"English",1.5,"Spanish",0.5,NA,NA,NA,NA,1,"English",0.9,"Spanish",0.1,NA,NA,NA,NA,2,"English",1,"Spanish",0.5,"Italian",0.5,NA,NA,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
"6034",35,"Female",1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,22,"English",22,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"Gym","English",1,NA,NA,NA,NA,NA,NA,16,NA,NA
"6203",25,"Female",2,"English",2,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,3,"English",2.5,"Spanish",0.5,NA,NA,NA,NA,17,"English",17,NA,NA,NA,NA,NA,NA,20,"English",20,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",2.5,"Spanish",0.5,NA,NA,NA,NA,3,"English",2,"Spanish",1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"I am mostly passively exposed to Spanish in my community.",NA
"6085",39,"Female",1,"english",1,"spanish",0.25,NA,NA,NA,NA,3,"english",3,"spanish",0.25,NA,NA,NA,NA,0,"english",0,NA,NA,NA,NA,NA,NA,2,"english",2,"spanish",0.5,NA,NA,NA,NA,10,"english",10,NA,NA,NA,NA,NA,NA,1,"english",1,NA,NA,NA,NA,NA,NA,2,"english",2,NA,NA,NA,NA,NA,NA,8,"english",8,"spanish",8,NA,NA,NA,NA,2,"english",2,"spanish",0.25,NA,NA,NA,NA,0,NA,"english",0,NA,NA,NA,NA,NA,NA,17,"I can't think of anything else to add about my language background.",NA
"6015",36,"Male",1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,"English",0,NA,NA,NA,NA,NA,NA,16,NA,NA
"6174",40,"Female",1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,19,"English",12,NA,NA,NA,NA,NA,NA,7,"English",7,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
"6235",24,"Female",2,"ENGLISH",2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",NA,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,1,"English1",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA
"6130",32,"Male",1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,17,"English",17,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"I sometimes watch anime in Japanese with English subtitles, but I average less than 1 hour per week. I have not watched anime in months.",NA
"5873",19,"Male",1,"english",1,NA,NA,NA,NA,NA,NA,4,"english",2,"spanish",2,NA,NA,NA,NA,2,"english",2,NA,NA,NA,NA,NA,NA,NA,"english",NA,NA,NA,NA,NA,NA,NA,4,"english",4,NA,NA,NA,NA,NA,NA,1,"english",1,NA,NA,NA,NA,NA,NA,1,"english",1,NA,NA,NA,NA,NA,NA,8,"english",8,NA,NA,NA,NA,NA,NA,1,"english",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA
"6260",37,"Male",2,"English",1.8,"Spanish",0.2,NA,0,NA,0,3,"English",3,NA,0,NA,0,NA,0,0.5,"english",0.5,NA,0,NA,0,NA,0,5,"English",5,NA,0,NA,0,NA,0,18,"English",18,NA,0,NA,0,NA,0,1,"English",1,NA,0,NA,0,NA,0,6,"English",4.5,"Spanish",1,"Chinese",0.5,NA,0,8,"English",6,"Spanish",1,"Chinese",1,NA,0,3,"English",3,NA,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,0,NA,0,18,NA,0
"6509",22,"Male",9,"English",9,"Spanish",1,"Japanese",5,"Korean",2,6,"English",6,"Japanese",3.5,"Russian",1,"Korean",1.5,3,"English",3,"Japanese",1.5,NA,NA,NA,NA,4,"English",4,"Japanese",1,NA,NA,NA,NA,20,"English",20,"Spanish",4,NA,NA,NA,NA,4,"English",4,"Spanish",1,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,2.5,"English",2.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
"6660",36,"Female",3,"English",2.5,"Spanish",0.5,NA,NA,NA,NA,5,"English",3,"Spanish",1.5,"French",0.5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,4,"English",3,"Spanish",1,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,2,"English",1.5,"Spanish 0.5",NA,NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,15,"No comments but very interesting study.",NA
"6725",33,"Male",2,"Spanish",2,"Italian",1,NA,NA,NA,NA,3,"Spanish",2,"Italian",1,NA,NA,NA,NA,2,"Spanish",1,NA,NA,NA,NA,NA,NA,2,"Spanish",1,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,4,"Eglish",3,"Spanish",1,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA
"6690",34,"Female",4,"English",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
"6867",33,"Male",3,"English",1,"Japanese",2,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,10,"English",10,NA,NA,NA,NA,NA,NA,10,"English",10,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
"6451",30,"Male",3,"English",3,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,7,"English",7,NA,NA,NA,NA,NA,NA,10,"English",10,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA
"6808",34,"Female",2,"English",1,"Spanish",1,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",2,"Spanish",1,NA,NA,NA,NA,2,"English",1.5,"Spanish",0.5,NA,NA,NA,NA,12,"English",3,"Spanish",1,NA,NA,NA,NA,12,"English",3,"Spanish",1,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,5,"English",4,"Spaish",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"No more information",NA
"6998",24,"Female",3,"English",3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
"6777",31,"Male",3,"English",2,"Spanish",1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"Spanish",2,NA,NA,NA,NA,NA,NA,NA,"Spanish",2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"Spanish",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"6071",38,"Female",0.5,"English",0.5,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,0,"English",0,NA,NA,NA,NA,NA,NA,7,"English",7,NA,NA,NA,NA,NA,NA,7,"English",7,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,"English",0,NA,NA,NA,NA,NA,NA,16,NA,NA
"5724",19,"Female",5,"English",5,NA,0,NA,0,NA,0,3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,7,"English",7,NA,NA,NA,NA,NA,NA,15,"English",15,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"I only speak English",NA
"5238",20,"Male",3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,12,"Sleeping and other activities","English",12,NA,NA,NA,NA,NA,NA,17,NA,NA
"5103",32,"Female",2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,5,"English",5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"I am only an English speaker with very little understanding of Spanish. I would like to learn more languages and would like to try to expose myself more to diffferent languages",NA
"5098",27,"Female",2,"English",2,"Vietnamese",0,"Spanish",0,NA,NA,3,"English",2.5,"Vietnamese",0.5,"Spanish",0,NA,NA,1,"English",1,"Vietnamese",0,"Spanish",0,NA,NA,6,"English",6,"Vietnamese",0,"Spanish",0,NA,NA,7,"English",7,"Vietnamese",0,"Spanish",0,NA,NA,5,"English",4,"Vietnamese",1,"Spanish",0,NA,NA,5,"English",5,"Vietnamese",0,"Spanish",0,NA,NA,3,"English",2.5,"Vietnamese",0.5,"Spanish",0,NA,NA,2,"English",2,"Vietnamese",0,"Spanish",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
"7091",34,"Male",2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",0.9,"Korean",0.1,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,0.5,"English",0.5,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,8,"Sleeping",NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
"6993",30,"Female",3,"English",3,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,9,"English",9,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"english",2,NA,NA,NA,NA,NA,NA,3,"english",3,NA,NA,NA,NA,NA,NA,3,"english",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"7172",38,"Male",2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,12,"English",12,NA,NA,NA,NA,NA,NA,12,"English",12,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,7,"Asleep","English",7,NA,NA,NA,NA,NA,NA,17,NA,NA
"7187",32,"Male",2,"English",2,NA,0,NA,0,NA,0,2,"English",2,NA,0,NA,0,NA,0,8,"English",8,NA,0,NA,0,NA,0,8,"English",8,NA,0,NA,0,NA,0,16,"English",15,"Tagalog",1,NA,0,NA,0,8,"English",8,NA,0,NA,0,NA,0,8,"English",7,"Tagalog",1,NA,0,NA,0,8,"English",8,NA,0,NA,0,NA,0,1,"English",1,NA,0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,0,NA,0,18,NA,0
"7201",36,"Male",3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,16,"English",16,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,8,"English",8,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,0,"none","English",0,NA,NA,NA,NA,NA,NA,18,"no additional comments",NA
"7189",20,"Male",3,"English",3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,NA,"English",1,NA,NA,NA,NA,NA,NA,3,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA
"7464",29,"Male",3,"English",3,"Japanese",0,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,12,"English",12,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,14,"English",14,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA
"7480",26,"Male",2,"English",2,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,1,"GYM","English",1,NA,NA,NA,NA,NA,NA,18,NA,NA
"7474",32,"Male",3,"English",3,NA,NA,NA,NA,NA,NA,2,"English",2,NA,NA,NA,NA,NA,NA,3,"English",NA,NA,NA,NA,NA,NA,NA,3,"English",3,NA,NA,NA,NA,NA,NA,9,"English",9,NA,NA,NA,NA,NA,NA,NA,"English",NA,NA,NA,NA,NA,NA,NA,1,"English",1,NA,NA,NA,NA,NA,NA,6,"English",6,NA,NA,NA,NA,NA,NA,4,"English",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"I only speak English",NA
