sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.208,326.9,314.1,320.4,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.218,313.9,314.6,314.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.228,298.7,314.6,306.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.238,281.9,314.5,297.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.248,263.7,314.2,287.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.258,244.1,313.9,276.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.268,229.2,313.1,267.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.278,216.8,312.3,260.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.288,206.8,311.4,253.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.298,198.3,310.5,248.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.308,190.5,309.3,242.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.318,183.3,308,237.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.328,177.3,304.5,232.4,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.338,174.3,294.8,226.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.348,NA,275.3,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.358,NA,250.9,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.368,NA,231.3,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.378,153,220.6,183.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.388,152.4,213.1,180.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.398,150.9,203.9,175.4,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.408,148.5,191.2,168.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.418,144.1,175,158.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.078,307.6,276.5,283.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.088,314.3,282.2,289.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.098,321.2,288.3,296.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.108,328.4,293.8,302.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.118,334.2,298.4,307,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,2,0.128,338.5,302,310.7,log
