"local_date","session","ID","exp_group","response","reaction_time","correct","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","days_between","log_rt","median_rt","mad","upper_mad","lower_mad"
"2025-04-28","1","4","High LD","different",475.3999999999651,1,"oto-otto","different","AB","oto","otto","M_oto.mp3","M_otto.mp3","same","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.16415655492602,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",1035.7999999999884,1,"shiru-shiiru","different","BA","shiru","shiiru","F_shiiru.mp3","F_shiru.mp3","same","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.94292935398978,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",909.3000000000176,1,"shiru-shiiru","same","AA","shiru","shiiru","M_shiru.mp3","F_shiru.mp3","different","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.812675072731887,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",620.7000000000116,1,"toshin-tosshin","different","BA","toshin","tosshin","M_tosshin.mp3","M_toshin.mp3","same","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.4308478734196255,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",339.29999999998836,1,"jutaku-juutaku","different","AB","jutaku","juutaku","M_jutaku.mp3","M_juutaku.mp3","same","Japanese","entrustment, commission, taking charge","residence, housing","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",26,5.82688467179015,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",485.9000000000815,1,"ite-itte","different","BA","ite","itte","M_itte.mp3","F_ite.mp3","different","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.186002841412025,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",572.0000000000873,1,"haken-hakken","same","AA","haken","hakken","M_haken.mp3","F_haken.mp3","different","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.3491389913799505,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",1498.2000000000407,1,"yusoo-yuusoo","same","BB","yusoo","yuusoo","F_yuusoo.mp3","F_yuusoo.mp3","same","Japanese","transport, transportation","mailing, posting","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",26,7.31201966651381,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",398.7999999999883,1,"toshin-tosshin","same","BB","toshin","tosshin","M_tosshin.mp3","M_tosshin.mp3","same","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.988460038087654,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",317.9000000000524,1,"heta-hetta","different","AB","heta","hetta","M_heta.mp3","F_hetta.mp3","different","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.761736867916921,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",342.5000000000873,1,"toshin-tosshin","different","AB","toshin","tosshin","M_toshin.mp3","M_tosshin.mp3","same","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.836271657702535,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",397.19999999995343,1,"kasee-kassee","same","BB","kasee","kassee","F_kassee.mp3","F_kassee.mp3","same","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.9844399321709005,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",387.70000000004075,1,"saka-sakka","same","BB","saka","sakka","M_sakka.mp3","M_sakka.mp3","same","Japanese","slope, hill","author","LH(L)","LHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.960231844676988,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",891.9000000000815,1,"oto-otto","different","BA","oto","otto","M_otto.mp3","F_oto.mp3","different","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.793354018672253,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",439.29999999990105,1,"nishi-nisshi","different","BA","nishi","nisshi","F_nisshi.mp3","F_nishi.mp3","same","Japanese","west","log, journal","LH","LHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.085182550981509,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
