"local_date","session","ID","exp_group","response","reaction_time","correct","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","days_between"
"2025-04-03","1","1","Low LD","same",1542.2000000238477,1,"haken-hakken","same","BB","haken","hakken","M_hakken.mp3","F_hakken.mp3","different","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",1002.8000000476897,1,"shiru-shiiru","different","AB","shiru","shiiru","M_shiru.mp3","M_shiiru.mp3","same","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",929.600000047678,1,"hasan-hassan","different","BA","hasan","hassan","F_hassan.mp3","F_hasan.mp3","same","Japanese","bankruptcy","emission, radiation","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",770.3000000476895,1,"saka-sakka","same","AA","saka","sakka","F_saka.mp3","F_saka.mp3","same","Japanese","slope, hill","author","LH(L)","LHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",681,1,"ishoku-isshoku","same","BB","ishoku","isshoku","M_isshoku.mp3","F_isshoku.mp3","different","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",791.7000000000116,1,"oto-otto","different","AB","oto","otto","F_oto.mp3","F_otto.mp3","same","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",611.6000000476779,1,"ojisan-ojiisan","same","AA","ojisan","ojiisan","F_ojisan.mp3","M_ojisan.mp3","different","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",892.2000000715198,1,"kasee-kassee","same","BB","kasee","kassee","F_kassee.mp3","M_kassee.mp3","different","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",966.5,1,"haken-hakken","different","AB","haken","hakken","F_haken.mp3","M_hakken.mp3","different","Japanese","dispatch","discovery","LHH","LHHH","k","k","kk","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",726.7999999999884,1,"iso-isso","same","AA","iso","isso","F_iso.mp3","F_iso.mp3","same","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
