"ID","session","exp_group","days_between","language","corr_reject","false_alarm","hit","miss","dprime","criterion"
"11","5","High LD",25,"Japanese",53,3,51,7,2.6832155809014546,0.20149013696039986
"11","5","High LD",25,"MSA",42,11,38,11,1.535029420962606,0.028667861296089336
"11","6","High LD",25,"Japanese",48,9,51,8,2.0518487382957042,-0.04693697250215101
"11","6","High LD",25,"MSA",49,8,41,16,1.6209135467231182,0.24088107846513201
"13","1","High LD",24,"Japanese",59,5,68,3,3.033151755223602,-0.1418961834238256
"13","1","High LD",24,"MSA",62,7,59,7,2.4581407011020957,0.012796441292272864
"13","2","High LD",24,"Japanese",64,6,66,4,2.85827664828141,-0.0978634774597874
"13","2","High LD",24,"MSA",61,6,58,11,2.2841021185577093,0.16505565700953156
"13","3","High LD",24,"Japanese",68,3,67,4,3.192592605388173,0.062175758341540655
"13","3","High LD",24,"MSA",62,7,62,7,2.483733583686641,-0
"13","4","High LD",24,"Japanese",63,7,68,3,2.9085595058909437,-0.20419230809015498
"13","4","High LD",24,"MSA",63,4,65,6,2.8439341770109596,0.08292065013451366
"13","5","High LD",24,"Japanese",52,4,49,3,2.918155255125446,-0.046890048656559546
"13","5","High LD",24,"MSA",44,5,44,6,2.3650515984966796,0.04400232078827071
"13","6","High LD",24,"Japanese",69,1,65,3,3.66888232063614,0.19657336524884794
"13","6","High LD",24,"MSA",65,4,63,7,2.769846956014213,0.13483603315178982
"15","1","Low LD",21,"Japanese",131,12,123,12,2.6897658712617227,0.01580885150633271
"15","2","Low LD",21,"Japanese",105,28,109,24,1.701744876930176,-0.05373830482131192
"15","3","Low LD",21,"Japanese",116,21,127,12,2.357049206661668,-0.16664203084580442
"15","4","Low LD",21,"Japanese",108,24,114,13,2.1504266231297793,-0.1757784038976558
"15","5","Low LD",21,"Japanese",112,27,128,8,2.3922880095607453,-0.3416966060843833
"15","6","Low LD",21,"Japanese",105,36,131,7,2.2601326749549076,-0.477575384185429
"17","1","High LD",28,"Japanese",64,5,62,5,2.813907435059924,0.007792708005014415
"17","1","High LD",28,"MSA",57,11,53,18,1.6202158814874528,0.157313625357975
"17","2","High LD",28,"Japanese",66,3,58,6,2.9264051924960732,0.1816510307034359
"17","2","High LD",28,"MSA",56,11,54,13,1.804543615163273,0.05538608907939235
"17","3","High LD",28,"Japanese",64,5,65,3,3.052614220604198,-0.11156068476712278
"17","3","High LD",28,"MSA",62,9,60,9,2.217025290172014,0.008733982777070604
"17","4","High LD",28,"Japanese",65,5,62,6,2.7376429149536916,0.05351163137534265
"17","4","High LD",28,"MSA",56,11,47,12,1.7698756981609418,0.072720047580558
"17","5","High LD",28,"Japanese",69,3,69,3,3.330224021225499,-1.1102230246251565e-16
"17","5","High LD",28,"MSA",61,11,65,7,2.2707375434555512,-0.13072516798983214
"17","6","High LD",28,"Japanese",68,3,67,5,3.0955884276010774,0.11067784723508844
"17","6","High LD",28,"MSA",62,8,51,15,1.9108263561550514,0.22098294636531146
"18","1","Low LD",17,"Japanese",129,4,127,9,3.311275330320165,0.17493615498533988
"18","2","Low LD",17,"Japanese",134,3,127,7,3.547020817970287,0.18029159096209357
"18","3","Low LD",17,"Japanese",131,2,126,5,3.813982396114626,0.17532680193506756
"18","4","Low LD",17,"Japanese",113,6,121,5,3.3192645344825027,-0.05390266118224418
"18","5","Low LD",17,"Japanese",128,0,131,2,4.745005449998068,0.2901847250066534
"18","6","Low LD",17,"Japanese",123,6,120,4,3.4439717337894393,-0.07713223994324714
"19","1","Low LD",28,"Japanese",119,25,126,17,2.098633675038893,-0.11806660277327907
"19","2","Low LD",28,"Japanese",122,22,114,29,1.838881303804429,0.09505809388188635
"19","3","Low LD",28,"Japanese",128,16,104,35,1.8698931479892886,0.2716534775733675
"19","4","Low LD",28,"Japanese",115,19,89,47,1.4547659398418278,0.33317927361051225
"19","5","Low LD",28,"Japanese",117,18,81,54,1.3497779920633166,0.42344465348847693
"19","6","Low LD",28,"Japanese",114,14,91,40,1.7187364997525931,0.3544786278656954
"23","1","High LD",24,"Japanese",62,10,65,7,2.3293381174149808,-0.10142488101011715
"23","1","High LD",24,"MSA",59,13,58,14,1.743254379238743,0.025102800330069952
"23","2","High LD",24,"Japanese",67,5,68,4,2.978236004388066,-0.05200163562858251
"23","2","High LD",24,"MSA",60,12,62,10,2.0125487014672836,-0.05696982696373154
"23","3","High LD",24,"Japanese",68,4,69,3,3.206231648435365,-0.06199618639506721
"23","3","High LD",24,"MSA",57,15,62,10,1.8616112007843153,-0.1324385773052157
"23","4","High LD",24,"Japanese",63,7,66,6,2.596770934982355,-0.04829802263586069
"23","4","High LD",24,"MSA",60,11,58,12,1.926099389890187,0.03255049089686313
"23","5","High LD",24,"Japanese",66,5,64,6,2.7610631826264385,0.049256744632301785
"23","5","High LD",24,"MSA",62,10,58,14,1.9097685669866749,0.10835989420403591
"23","6","High LD",24,"Japanese",62,9,64,8,2.310227888142452,-0.03786731620814843
"23","6","High LD",24,"MSA",51,20,59,13,1.4655998740072191,-0.1639300529458318
"24","1","High LD",32,"Japanese",67,5,60,11,2.432716552407407,0.22075809036174682
"24","1","High LD",32,"MSA",53,17,42,30,0.8931158876760283,0.23905416057492748
"24","2","High LD",32,"Japanese",62,8,66,6,2.523079614569875,-0.0851436828421005
"24","2","High LD",32,"MSA",49,23,49,22,0.9511190647492744,-0.013216878740032162
"24","3","High LD",32,"Japanese",62,6,58,6,2.596861391646104,0.016879130278451226
"24","3","High LD",32,"MSA",54,11,54,12,1.8281498864902954,0.023457295590166627
"24","4","High LD",32,"Japanese",57,8,59,2,2.8790944801014735,-0.3074076615105089
"24","4","High LD",32,"MSA",56,13,44,22,1.2913115167184026,0.2217599360365134
"24","5","High LD",32,"Japanese",49,11,58,6,2.1648978930532934,-0.19910261901795417
"24","5","High LD",32,"MSA",45,13,42,19,1.2258492014610927,0.12983519781412858
"24","6","High LD",32,"Japanese",56,10,48,12,1.8322272034729203,0.09193144774008405
"24","6","High LD",32,"MSA",41,15,47,18,1.1889283721834019,0.012522648711784767
