ID	prepost	pair	first_dim_step	norm_response	pred
3	pretraining	indent-intent	1	3	1.24762443372819
3	pretraining	indent-intent	1	4	1.24762443372819
3	pretraining	indent-intent	1	0	1.24762443372819
3	pretraining	indent-intent	2	14	8.68947927099438
3	pretraining	indent-intent	2	1	8.68947927099438
3	pretraining	indent-intent	3	96	92.5213187941847
3	pretraining	indent-intent	3	97	92.5213187941847
3	pretraining	indent-intent	3	90	92.5213187941847
3	pretraining	indent-intent	3	99	92.5213187941847
3	pretraining	indent-intent	4	93	93.9076737737855
3	pretraining	indent-intent	4	85	93.9076737737855
3	pretraining	indent-intent	4	92	93.9076737737855
3	pretraining	indent-intent	4	100	93.9076737737855
3	pretraining	indent-intent	5	99	93.9095455823771
3	pretraining	indent-intent	5	100	93.9095455823771
3	pretraining	indent-intent	5	100	93.9095455823771
3	pretraining	indent-intent	5	100	93.9095455823771
3	pretraining	indent-intent	6	100	93.9095480718208
3	pretraining	indent-intent	6	74	93.9095480718208
3	pretraining	indent-intent	6	89	93.9095480718208
3	pretraining	indent-intent	6	100	93.9095480718208
3	pretraining	indent-intent	7	90	93.9095480751316
3	pretraining	indent-intent	7	75	93.9095480751316
3	pretraining	indent-intent	7	97	93.9095480751316
3	pretraining	indent-intent	7	97	93.9095480751316
3	pretraining	kata-katta	1	0	6.36027084836354
3	pretraining	kata-katta	1	0	6.36027084836354
3	pretraining	kata-katta	1	0	6.36027084836354
3	pretraining	kata-katta	1	99	6.36027084836354
3	pretraining	kata-katta	2	1	6.36027229653386
3	pretraining	kata-katta	2	1	6.36027229653386
3	pretraining	kata-katta	2	0	6.36027229653386
3	pretraining	kata-katta	2	1	6.36027229653386
3	pretraining	kata-katta	3	0	6.36126819915344
3	pretraining	kata-katta	3	0	6.36126819915344
3	pretraining	kata-katta	3	0	6.36126819915344
3	pretraining	kata-katta	3	0	6.36126819915344
3	pretraining	kata-katta	4	0	7.04026079375142
3	pretraining	kata-katta	4	1	7.04026079375142
3	pretraining	kata-katta	4	0	7.04026079375142
3	pretraining	kata-katta	4	1	7.04026079375142
3	pretraining	kata-katta	5	99	74.0241625634376
3	pretraining	kata-katta	5	99	74.0241625634376
3	pretraining	kata-katta	5	1	74.0241625634376
3	pretraining	kata-katta	5	99	74.0241625634376
3	pretraining	kata-katta	6	99	85.3367820326447
3	pretraining	kata-katta	6	100	85.3367820326447
3	pretraining	kata-katta	6	99	85.3367820326447
3	pretraining	kata-katta	6	1	85.3367820326447
3	pretraining	kata-katta	7	99	85.3559867106528
3	pretraining	kata-katta	7	99	85.3559867106528
3	pretraining	kata-katta	7	99	85.3559867106528
3	pretraining	reason-risen	1	0	14.4793779605261
3	pretraining	reason-risen	1	9	14.4793779605261
3	pretraining	reason-risen	1	0	14.4793779605261
3	pretraining	reason-risen	1	6	14.4793779605261
3	pretraining	reason-risen	2	0	14.4796750166387
3	pretraining	reason-risen	2	26	14.4796750166387
3	pretraining	reason-risen	2	4	14.4796750166387
3	pretraining	reason-risen	3	38	14.5326969474117
3	pretraining	reason-risen	3	2	14.5326969474117
3	pretraining	reason-risen	3	0	14.5326969474117
3	pretraining	reason-risen	3	77	14.5326969474117
3	pretraining	reason-risen	4	53	22.7973904750239
3	pretraining	reason-risen	4	31	22.7973904750239
3	pretraining	reason-risen	4	4	22.7973904750239
3	pretraining	reason-risen	4	0	22.7973904750239
3	pretraining	reason-risen	5	75	77.3419591936816
3	pretraining	reason-risen	5	99	77.3419591936816
3	pretraining	reason-risen	5	70	77.3419591936816
3	pretraining	reason-risen	5	74	77.3419591936816
3	pretraining	reason-risen	6	99	79.7374479605734
3	pretraining	reason-risen	6	73	79.7374479605734
3	pretraining	reason-risen	6	100	79.7374479605734
3	pretraining	reason-risen	6	46	79.7374479605734
3	pretraining	reason-risen	7	85	79.7513717309902
3	pretraining	reason-risen	7	84	79.7513717309902
3	pretraining	reason-risen	7	47	79.7513717309902
3	pretraining	reason-risen	7	96	79.7513717309902
3	pretraining	toru-tooru	1	1	9.93936380566271e-07
3	pretraining	toru-tooru	1	0	9.93936380566271e-07
3	pretraining	toru-tooru	1	0	9.93936380566271e-07
3	pretraining	toru-tooru	1	0	9.93936380566271e-07
3	pretraining	toru-tooru	2	0	0.00145359208292536
3	pretraining	toru-tooru	2	0	0.00145359208292536
3	pretraining	toru-tooru	2	1	0.00145359208292536
3	pretraining	toru-tooru	2	0	0.00145359208292536
3	pretraining	toru-tooru	3	0	2.30489363755415
3	pretraining	toru-tooru	3	1	2.30489363755415
3	pretraining	toru-tooru	3	1	2.30489363755415
3	pretraining	toru-tooru	3	0	2.30489363755415
3	pretraining	toru-tooru	4	99	97.133555190185
3	pretraining	toru-tooru	4	99	97.133555190185
3	pretraining	toru-tooru	4	100	97.133555190185
3	pretraining	toru-tooru	5	99	99.6594411236894
3	pretraining	toru-tooru	5	99	99.6594411236894
3	pretraining	toru-tooru	5	99	99.6594411236894
3	pretraining	toru-tooru	5	100	99.6594411236894
3	pretraining	toru-tooru	6	98	99.6610376511448
3	pretraining	toru-tooru	6	99	99.6610376511448
3	pretraining	toru-tooru	6	99	99.6610376511448
3	pretraining	toru-tooru	6	99	99.6610376511448
3	pretraining	toru-tooru	7	99	99.6610386346799
3	pretraining	toru-tooru	7	100	99.6610386346799
3	pretraining	toru-tooru	7	99	99.6610386346799
4	posttraining	indent-intent	1	30	30.6717193413109
4	posttraining	indent-intent	1	37	30.6717193413109
4	posttraining	indent-intent	1	28	30.6717193413109
4	posttraining	indent-intent	1	32	30.6717193413109
4	posttraining	indent-intent	2	37	35.1385930696379
4	posttraining	indent-intent	2	33	35.1385930696379
4	posttraining	indent-intent	2	28	35.1385930696379
4	posttraining	indent-intent	3	40	41.7296498714254
4	posttraining	indent-intent	3	45	41.7296498714254
4	posttraining	indent-intent	4	45	49.9787297775373
4	posttraining	indent-intent	4	57	49.9787297775373
4	posttraining	indent-intent	4	60	49.9787297775373
4	posttraining	indent-intent	4	41	49.9787297775373
4	posttraining	indent-intent	5	57	58.4136295658953
4	posttraining	indent-intent	5	61	58.4136295658953
4	posttraining	indent-intent	5	56	58.4136295658953
4	posttraining	indent-intent	5	59	58.4136295658953
4	posttraining	indent-intent	6	64	65.4312800619802
4	posttraining	indent-intent	6	65	65.4312800619802
4	posttraining	indent-intent	7	69	70.3353489227228
4	posttraining	indent-intent	7	66	70.3353489227228
4	posttraining	indent-intent	7	77	70.3353489227228
4	posttraining	kata-katta	1	31	32.9067223193606
4	posttraining	kata-katta	1	41	32.9067223193606
4	posttraining	kata-katta	1	25	32.9067223193606
4	posttraining	kata-katta	1	33	32.9067223193606
4	posttraining	kata-katta	2	34	38.50153493611
4	posttraining	kata-katta	2	44	38.50153493611
4	posttraining	kata-katta	2	36	38.50153493611
4	posttraining	kata-katta	2	45	38.50153493611
4	posttraining	kata-katta	3	39	44.9863453579813
4	posttraining	kata-katta	3	42	44.9863453579813
4	posttraining	kata-katta	3	41	44.9863453579813
4	posttraining	kata-katta	3	56	44.9863453579813
4	posttraining	kata-katta	4	54	51.7257066142943
4	posttraining	kata-katta	4	45	51.7257066142943
4	posttraining	kata-katta	4	41	51.7257066142943
4	posttraining	kata-katta	4	59	51.7257066142943
4	posttraining	kata-katta	5	58	57.9801856429092
4	posttraining	kata-katta	5	65	57.9801856429092
4	posttraining	kata-katta	5	61	57.9801856429092
4	posttraining	kata-katta	5	55	57.9801856429092
4	posttraining	kata-katta	6	65	63.2037968310496
4	posttraining	kata-katta	6	58	63.2037968310496
4	posttraining	kata-katta	6	72	63.2037968310496
4	posttraining	kata-katta	6	61	63.2037968310496
4	posttraining	kata-katta	7	69	67.1957080637733
4	posttraining	kata-katta	7	60	67.1957080637733
4	posttraining	kata-katta	7	73	67.1957080637733
4	posttraining	kata-katta	7	63	67.1957080637733
4	posttraining	reason-risen	1	25	25.6567852692378
4	posttraining	reason-risen	1	19	25.6567852692378
4	posttraining	reason-risen	1	26	25.6567852692378
4	posttraining	reason-risen	1	32	25.6567852692378
4	posttraining	reason-risen	2	27	30.8437544899198
4	posttraining	reason-risen	2	29	30.8437544899198
4	posttraining	reason-risen	2	36	30.8437544899198
